         S_ALK   S_I       S_ND       S_NH       S_NO       S_O        S_S      X_BA        X_BH   X_I       X_ND       X_P         X_S
t0    6.000000  40.0  10.100000  12.500000  10.000000  0.000000  64.000000  5.000000   96.000000  40.0  18.280000  0.000000  108.000000
t1    6.017991  40.0   9.715317  12.802551  10.050674  0.221717  61.439584  5.018467   97.644663  40.0  18.147305  0.033792  107.394372
t2    6.034916  40.0   9.347163  13.089972  10.101143  0.209979  58.887383  5.036904   99.286304  40.0  18.013588  0.067917  106.782950
t3    6.050805  40.0   8.995208  13.362712  10.151440  0.199621  56.346687  5.055308  100.923021  40.0  17.878876  0.102374  106.165809
t4    6.065689  40.0   8.659100  13.621246  10.201607  0.190763  53.821060  5.073678  102.552754  40.0  17.743198  0.137157  105.543035
t5    6.079599  40.0   8.338473  13.866075  10.251687  0.183532  51.314360  5.092011  104.173267  40.0  17.606583  0.172263  104.914729
t6    6.092571  40.0   8.032943  14.097724  10.301730  0.178063  48.830753  5.110305  105.782152  40.0  17.469065  0.207685  104.281003
t7    6.104639  40.0   7.742113  14.316743  10.351792  0.174498  46.374718  5.128560  107.376810  40.0  17.330683  0.243417  103.641983
t8    6.115841  40.0   7.465573  14.523703  10.401932  0.172982  43.951059  5.146774  108.954459  40.0  17.191474  0.279453  102.997811
t9    6.126213  40.0   7.202902  14.719194  10.452217  0.173665  41.564905  5.164945  110.512124  40.0  17.051484  0.315784  102.348644
t10   6.135793  40.0   6.953671  14.903825  10.502716  0.176692  39.221704  5.183073  112.046643  40.0  16.910759  0.352402  101.694658
t11   6.144622  40.0   6.717442  15.078220  10.553506  0.182208  36.927207  5.201156  113.554677  40.0  16.769349  0.389296  101.036045
t12   6.152739  40.0   6.493775  15.243016  10.604666  0.190345  34.687439  5.219195  115.032727  40.0  16.627309  0.426456  100.373016
t13   6.160184  40.0   6.282223  15.398860  10.656280  0.201221  32.508653  5.237186  116.477154  40.0  16.484697  0.463868   99.705801
t14   6.166998  40.0   6.082338  15.546402  10.708434  0.214930  30.397273  5.255132  117.884221  40.0  16.341576  0.501521   99.034653
t15   6.173220  40.0   5.893670  15.686294  10.761218  0.231533  28.359800  5.273030  119.250137  40.0  16.198012  0.539399   98.359840
t16   6.178890  40.0   5.715771  15.819182  10.814721  0.251049  26.402709  5.290880  120.571122  40.0  16.054075  0.577487   97.681657
t17   6.184048  40.0   5.548194  15.945699  10.869029  0.273441  24.532309  5.308682  121.843485  40.0  15.909839  0.615767   97.000413
t18   6.188731  40.0   5.390496  16.066461  10.924227  0.298612  22.754583  5.326435  123.063716  40.0  15.765382  0.654222   96.316440
t19   6.192976  40.0   5.242236  16.182054  10.980393  0.326386  21.075001  5.344139  124.228591  40.0  15.620785  0.692832   95.630087
t20   6.196817  40.0   5.102980  16.293028  11.037596  0.356508  19.498317  5.361794  125.335291  40.0  15.476131  0.731577   94.941720
t21   6.200285  40.0   4.972300  16.399889  11.095893  0.388639  18.028365  5.379400  126.381516  40.0  15.331507  0.770436   94.251715
t22   6.203412  40.0   4.849774  16.503089  11.155328  0.422355  16.667857  5.396956  127.365606  40.0  15.187000  0.809388   93.560463
t23   6.206221  40.0   4.734989  16.603021  11.215927  0.457162  15.418210  5.414463  128.286634  40.0  15.042697  0.848410   92.868357
t24   6.208737  40.0   4.627539  16.700013  11.277699  0.492507  14.279424  5.431920  129.144484  40.0  14.898687  0.887481   92.175794
