           h_S      h_OH    h_OHan      h_NO      h_NH  h_OA     h_SBH
t          NaN       NaN       NaN       NaN       NaN   NaN       NaN
t1    0.761905  0.888889  0.111111  0.952381  0.944037   0.8  0.982533
t2    0.754473  0.888889  0.111111  0.952608  0.945279   0.8  0.982143
t3    0.746588  0.888889  0.111111  0.952832  0.946409   0.8  0.981749
t4    0.738219  0.888889  0.111111  0.953053  0.947438   0.8  0.981351
t5    0.729334  0.888889  0.111111  0.953272  0.948378   0.8  0.980948
t6    0.719898  0.888889  0.111111  0.953488  0.949238   0.8  0.980542
t7    0.709876  0.888889  0.111111  0.953702  0.950026   0.8  0.980133
t8    0.699235  0.888889  0.111111  0.953914  0.950748   0.8  0.979720
t9    0.687940  0.888889  0.111111  0.954125  0.951412   0.8  0.979305
t10   0.675960  0.888889  0.111111  0.954334  0.952023   0.8  0.978888
t11   0.663264  0.888889  0.111111  0.954542  0.952586   0.8  0.978469
t12   0.649831  0.888889  0.111111  0.954750  0.953105   0.8  0.978049
t13   0.635642  0.888889  0.111111  0.954957  0.953586   0.8  0.977629
t14   0.620690  0.888889  0.111111  0.955164  0.954031   0.8  0.977209
t15   0.604982  0.888889  0.111111  0.955371  0.954446   0.8  0.976790
t16   0.588539  0.888889  0.111111  0.955579  0.954831   0.8  0.976373
t17   0.571402  0.888889  0.111111  0.955788  0.955192   0.8  0.975959
t18   0.553635  0.888889  0.111111  0.955998  0.955530   0.8  0.975547
t19   0.535327  0.888889  0.111111  0.956209  0.955847   0.8  0.975140
t20   0.516594  0.888889  0.111111  0.956422  0.956147   0.8  0.974738
t21   0.497580  0.888889  0.111111  0.956636  0.956431   0.8  0.974341
t22   0.478455  0.888889  0.111111  0.956853  0.956702   0.8  0.973951
t23   0.459409  0.888889  0.111111  0.957072  0.956959   0.8  0.973567
t24   0.440647  0.888889  0.111111  0.957292  0.957206   0.8  0.973190
t25   0.422378  0.888889  0.111111  0.957515  0.957443   0.8  0.972821
t26   0.404805  0.888889  0.111111  0.957739  0.957670   0.8  0.972460
t27   0.388115  0.888889  0.111111  0.957965  0.957890   0.8  0.972105
t28   0.372464  0.888889  0.111111  0.958193  0.958101   0.8  0.971759
t29   0.357973  0.888889  0.111111  0.958421  0.958306   0.8  0.971418
t30   0.344723  0.888889  0.111111  0.958650  0.958503   0.8  0.971085
t31   0.332751  0.888889  0.111111  0.958880  0.958692   0.8  0.970757
t32   0.322055  0.888889  0.111111  0.959109  0.958876   0.8  0.970434
t33   0.312597  0.888889  0.111111  0.959338  0.959052   0.8  0.970115
t34   0.304313  0.888889  0.111111  0.959567  0.959221   0.8  0.969800
t35   0.297118  0.888889  0.111111  0.959794  0.959384   0.8  0.969488
t36   0.290915  0.888889  0.111111  0.960020  0.959540   0.8  0.969178
t37   0.285601  0.888889  0.111111  0.960244  0.959690   0.8  0.968870
t38   0.281073  0.888889  0.111111  0.960467  0.959833   0.8  0.968563
t39   0.277231  0.888889  0.111111  0.960688  0.959970   0.8  0.968255
t40   0.273983  0.888889  0.111111  0.960906  0.960101   0.8  0.967948
t41   0.271244  0.888889  0.111111  0.961123  0.960226   0.8  0.967640
t42   0.268937  0.888889  0.111111  0.961337  0.960345   0.8  0.967331
t43   0.266997  0.888889  0.111111  0.961549  0.960458   0.8  0.967021
t44   0.265364  0.888889  0.111111  0.961758  0.960567   0.8  0.966710
t45   0.263989  0.888889  0.111111  0.961965  0.960670   0.8  0.966396
t46   0.262829  0.888889  0.111111  0.962169  0.960768   0.8  0.966080
t47   0.261848  0.888889  0.111111  0.962371  0.960862   0.8  0.965762
t48   0.261015  0.888889  0.111111  0.962570  0.960951   0.8  0.965442
t49   0.260304  0.888889  0.111111  0.962767  0.961036   0.8  0.965119
t50   0.259694  0.888889  0.111111  0.962962  0.961117   0.8  0.964793
t51   0.259168  0.888889  0.111111  0.963154  0.961195   0.8  0.964465
t52   0.258711  0.888889  0.111111  0.963343  0.961268   0.8  0.964133
t53   0.258310  0.888889  0.111111  0.963531  0.961339   0.8  0.963798
t54   0.257956  0.888889  0.111111  0.963715  0.961405   0.8  0.963461
t55   0.257639  0.888889  0.111111  0.963898  0.961469   0.8  0.963120
t56   0.257353  0.888889  0.111111  0.964078  0.961530   0.8  0.962776
t57   0.257093  0.888889  0.111111  0.964256  0.961588   0.8  0.962428
t58   0.256854  0.888889  0.111111  0.964432  0.961643   0.8  0.962077
t59   0.256632  0.888889  0.111111  0.964606  0.961696   0.8  0.961723
t60   0.256424  0.888889  0.111111  0.964777  0.961746   0.8  0.961365
t61   0.256227  0.888889  0.111111  0.964947  0.961793   0.8  0.961004
t62   0.256040  0.888889  0.111111  0.965114  0.961839   0.8  0.960639
t63   0.255860  0.888889  0.111111  0.965280  0.961882   0.8  0.960270
t64   0.255686  0.888889  0.111111  0.965443  0.961923   0.8  0.959898
t65   0.255517  0.888889  0.111111  0.965604  0.961962   0.8  0.959522
t66   0.255353  0.888889  0.111111  0.965764  0.961999   0.8  0.959142
t67   0.255191  0.888889  0.111111  0.965921  0.962034   0.8  0.958758
t68   0.255033  0.888889  0.111111  0.966077  0.962067   0.8  0.958370
t69   0.254876  0.888889  0.111111  0.966231  0.962098   0.8  0.957979
t70   0.254721  0.888889  0.111111  0.966383  0.962128   0.8  0.957583
t71   0.254568  0.888889  0.111111  0.966533  0.962156   0.8  0.957183
t72   0.254415  0.888889  0.111111  0.966681  0.962183   0.8  0.956779
t73   0.254263  0.888889  0.111111  0.966828  0.962207   0.8  0.956371
t74   0.254112  0.888889  0.111111  0.966973  0.962231   0.8  0.955959
t75   0.253962  0.888889  0.111111  0.967117  0.962253   0.8  0.955543
t76   0.253812  0.888889  0.111111  0.967259  0.962273   0.8  0.955122
t77   0.253662  0.888889  0.111111  0.967399  0.962292   0.8  0.954697
t78   0.253512  0.888889  0.111111  0.967537  0.962310   0.8  0.954268
t79   0.253362  0.888889  0.111111  0.967675  0.962326   0.8  0.953834
t80   0.253213  0.888889  0.111111  0.967810  0.962341   0.8  0.953395
t81   0.253063  0.888889  0.111111  0.967944  0.962354   0.8  0.952952
t82   0.252913  0.888889  0.111111  0.968077  0.962367   0.8  0.952505
t83   0.252763  0.888889  0.111111  0.968208  0.962378   0.8  0.952053
t84   0.252613  0.888889  0.111111  0.968338  0.962388   0.8  0.951596
t85   0.252463  0.888889  0.111111  0.968466  0.962396   0.8  0.951134
t86   0.252312  0.888889  0.111111  0.968593  0.962404   0.8  0.950667
t87   0.252161  0.888889  0.111111  0.968718  0.962410   0.8  0.950196
t88   0.252010  0.888889  0.111111  0.968843  0.962415   0.8  0.949720
t89   0.251858  0.888889  0.111111  0.968965  0.962419   0.8  0.949239
t90   0.251707  0.888889  0.111111  0.969087  0.962422   0.8  0.948752
t91   0.251554  0.888889  0.111111  0.969207  0.962424   0.8  0.948261
t92   0.251402  0.888889  0.111111  0.969326  0.962425   0.8  0.947764
t93   0.251249  0.888889  0.111111  0.969444  0.962425   0.8  0.947263
t94   0.251096  0.888889  0.111111  0.969561  0.962424   0.8  0.946756
t95   0.250942  0.888889  0.111111  0.969676  0.962422   0.8  0.946244
t96   0.250787  0.888889  0.111111  0.969790  0.962418   0.8  0.945726
t97   0.250633  0.888889  0.111111  0.969903  0.962414   0.8  0.945203
t98   0.250478  0.888889  0.111111  0.970015  0.962409   0.8  0.944674
t99   0.250322  0.888889  0.111111  0.970126  0.962403   0.8  0.944140
t100  0.250166  0.888889  0.111111  0.970236  0.962396   0.8  0.943601
t101  0.250009  0.888889  0.111111  0.970344  0.962388   0.8  0.943056
t102  0.249852  0.888889  0.111111  0.970451  0.962379   0.8  0.942505
t103  0.249694  0.888889  0.111111  0.970558  0.962369   0.8  0.941948
t104  0.249536  0.888889  0.111111  0.970663  0.962358   0.8  0.941385
t105  0.249377  0.888889  0.111111  0.970767  0.962346   0.8  0.940817
t106  0.249217  0.888889  0.111111  0.970871  0.962334   0.8  0.940243
t107  0.249057  0.888889  0.111111  0.970973  0.962320   0.8  0.939662
t108  0.248896  0.888889  0.111111  0.971074  0.962306   0.8  0.939076
t109  0.248735  0.888889  0.111111  0.971174  0.962291   0.8  0.938484
t110  0.248573  0.888889  0.111111  0.971274  0.962275   0.8  0.937885
t111  0.248410  0.888889  0.111111  0.971372  0.962258   0.8  0.937280
t112  0.248247  0.888889  0.111111  0.971469  0.962240   0.8  0.936669
t113  0.248083  0.888889  0.111111  0.971566  0.962222   0.8  0.936052
t114  0.247918  0.888889  0.111111  0.971661  0.962202   0.8  0.935428
t115  0.247752  0.888889  0.111111  0.971756  0.962182   0.8  0.934798
t116  0.247586  0.888889  0.111111  0.971850  0.962161   0.8  0.934162
t117  0.247419  0.888889  0.111111  0.971943  0.962139   0.8  0.933519
t118  0.247251  0.888889  0.111111  0.972035  0.962117   0.8  0.932869
t119  0.247083  0.888889  0.111111  0.972126  0.962094   0.8  0.932213
t120  0.246913  0.888889  0.111111  0.972216  0.962070   0.8  0.931550
t121  0.246743  0.888889  0.111111  0.972306  0.962045   0.8  0.930880
t122  0.246572  0.888889  0.111111  0.972394  0.962019   0.8  0.930203
t123  0.246400  0.888889  0.111111  0.972482  0.961993   0.8  0.929520
t124  0.246228  0.888889  0.111111  0.972569  0.961966   0.8  0.928830
t125  0.246054  0.888889  0.111111  0.972656  0.961938   0.8  0.928133
t126  0.245880  0.888889  0.111111  0.972741  0.961909   0.8  0.927429
t127  0.245705  0.888889  0.111111  0.972826  0.961880   0.8  0.926718
t128  0.245529  0.888889  0.111111  0.972910  0.961850   0.8  0.926000
t129  0.245352  0.888889  0.111111  0.972993  0.961820   0.8  0.925275
t130  0.245174  0.888889  0.111111  0.973076  0.961788   0.8  0.924542
t131  0.244995  0.888889  0.111111  0.973157  0.961756   0.8  0.923803
t132  0.244815  0.888889  0.111111  0.973238  0.961724   0.8  0.923057
t133  0.244635  0.888889  0.111111  0.973319  0.961690   0.8  0.922303
t134  0.244453  0.888889  0.111111  0.973398  0.961656   0.8  0.921542
t135  0.244271  0.888889  0.111111  0.973477  0.961621   0.8  0.920774
t136  0.244087  0.888889  0.111111  0.973556  0.961586   0.8  0.919998
t137  0.243903  0.888889  0.111111  0.973633  0.961550   0.8  0.919215
t138  0.243717  0.888889  0.111111  0.973710  0.961513   0.8  0.918425
t139  0.243531  0.888889  0.111111  0.973786  0.961476   0.8  0.917627
t140  0.243343  0.888889  0.111111  0.973862  0.961437   0.8  0.916823
t141  0.243155  0.888889  0.111111  0.973937  0.961399   0.8  0.916010
t142  0.242966  0.888889  0.111111  0.974011  0.961359   0.8  0.915191
t143  0.242775  0.888889  0.111111  0.974085  0.961319   0.8  0.914364
t144  0.242584  0.888889  0.111111  0.974158  0.961279   0.8  0.913529
t145  0.242391  0.888889  0.111111  0.974231  0.961238   0.8  0.912687
t146  0.242198  0.888889  0.111111  0.974302  0.961196   0.8  0.911838
t147  0.242004  0.888889  0.111111  0.974374  0.961153   0.8  0.910982
t148  0.241808  0.888889  0.111111  0.974444  0.961110   0.8  0.910118
t149  0.241612  0.888889  0.111111  0.974515  0.961067   0.8  0.909247
t150  0.241414  0.888889  0.111111  0.974584  0.961022   0.8  0.908368
t151  0.241216  0.888889  0.111111  0.974653  0.960977   0.8  0.907483
t152  0.241016  0.888889  0.111111  0.974722  0.960932   0.8  0.906590
t153  0.240815  0.888889  0.111111  0.974789  0.960886   0.8  0.905689
t154  0.240614  0.888889  0.111111  0.974857  0.960839   0.8  0.904782
t155  0.240411  0.888889  0.111111  0.974924  0.960792   0.8  0.903867
t156  0.240208  0.888889  0.111111  0.974990  0.960744   0.8  0.902946
t157  0.240003  0.888889  0.111111  0.975056  0.960696   0.8  0.902017
t158  0.239798  0.888889  0.111111  0.975121  0.960647   0.8  0.901082
t159  0.239591  0.888889  0.111111  0.975185  0.960597   0.8  0.900139
t160  0.239383  0.888889  0.111111  0.975250  0.960547   0.8  0.899190
t161  0.239175  0.888889  0.111111  0.975313  0.960496   0.8  0.898234
t162  0.238965  0.888889  0.111111  0.975376  0.960445   0.8  0.897272
t163  0.238755  0.888889  0.111111  0.975439  0.960393   0.8  0.896302
t164  0.238544  0.888889  0.111111  0.975501  0.960341   0.8  0.895327
t165  0.238332  0.888889  0.111111  0.975563  0.960288   0.8  0.894345
t166  0.238118  0.888889  0.111111  0.975624  0.960234   0.8  0.893357
t167  0.237904  0.888889  0.111111  0.975685  0.960180   0.8  0.892362
t168  0.237690  0.888889  0.111111  0.975745  0.960126   0.8  0.891362
