        H_grow  Han_grow    A_grow   decay_H   decay_A   Ammonia  hydro_org   hydro_N
t          NaN       NaN       NaN       NaN       NaN       NaN        NaN       NaN
t1    0.003010  0.000287  0.000038  0.000556  0.000008  0.000898   0.001516  0.000257
t2    0.003031  0.000289  0.000039  0.000565  0.000008  0.000879   0.001541  0.000260
t3    0.003050  0.000291  0.000039  0.000574  0.000008  0.000860   0.001567  0.000264
t4    0.003065  0.000292  0.000039  0.000584  0.000008  0.000841   0.001592  0.000268
t5    0.003077  0.000293  0.000039  0.000593  0.000008  0.000823   0.001616  0.000272
t6    0.003084  0.000294  0.000039  0.000603  0.000008  0.000805   0.001641  0.000275
t7    0.003088  0.000295  0.000040  0.000612  0.000008  0.000788   0.001666  0.000279
t8    0.003088  0.000295  0.000040  0.000621  0.000008  0.000771   0.001690  0.000283
t9    0.003082  0.000294  0.000040  0.000630  0.000008  0.000754   0.001714  0.000286
t10   0.003071  0.000293  0.000040  0.000639  0.000008  0.000738   0.001738  0.000290
t11   0.003055  0.000292  0.000040  0.000648  0.000008  0.000723   0.001761  0.000293
t12   0.003033  0.000290  0.000040  0.000656  0.000008  0.000708   0.001784  0.000296
t13   0.003006  0.000287  0.000040  0.000665  0.000008  0.000694   0.001806  0.000299
t14   0.002972  0.000284  0.000041  0.000673  0.000008  0.000680   0.001828  0.000302
t15   0.002931  0.000280  0.000041  0.000681  0.000008  0.000666   0.001849  0.000305
t16   0.002884  0.000276  0.000041  0.000689  0.000008  0.000653   0.001869  0.000308
t17   0.002831  0.000271  0.000041  0.000697  0.000008  0.000641   0.001889  0.000311
t18   0.002772  0.000265  0.000041  0.000704  0.000008  0.000629   0.001908  0.000313
t19   0.002707  0.000259  0.000041  0.000711  0.000008  0.000617   0.001926  0.000315
t20   0.002637  0.000252  0.000042  0.000718  0.000008  0.000606   0.001944  0.000318
t21   0.002562  0.000245  0.000042  0.000724  0.000008  0.000595   0.001960  0.000320
t22   0.002484  0.000238  0.000042  0.000730  0.000008  0.000585   0.001976  0.000321
t23   0.002404  0.000230  0.000042  0.000736  0.000008  0.000575   0.001990  0.000323
t24   0.002322  0.000222  0.000042  0.000741  0.000008  0.000566   0.002004  0.000325
t25   0.002241  0.000215  0.000042  0.000746  0.000008  0.000557   0.002016  0.000326
