           S_ALK        S_I       S_ND       S_NH      S_NO       S_O        S_S      X_BA        X_BH        X_I       X_ND        X_P        X_S
t0      6.000000  40.000000  10.100000   7.500000  5.000000  0.000000  64.000000  2.000000   96.000000  40.000000  18.280000   0.000000  75.000000
t1      6.000136  39.983333  10.063925   7.533149  4.997290  1.847799  63.717947  1.999872   96.123596  39.983333  18.252539   0.003350  74.908823
t2      6.000262  39.966692  10.028049   7.566119  4.994585  1.847762  63.436356  1.999744   96.247006  39.966692  18.225101   0.006700  74.817714
t3      6.000379  39.950076   9.992371   7.598913  4.991885  1.847727  63.155230  1.999617   96.370227  39.950076  18.197688   0.010048  74.726672
t4      6.000487  39.933486   9.956890   7.631530  4.989189  1.847693  62.874570  1.999490   96.493258  39.933486  18.170299   0.013396  74.635698
t5      6.000586  39.916921   9.921605   7.663971  4.986497  1.847660  62.594381  1.999364   96.616098  39.916921  18.142935   0.016743  74.544793
t6      6.000675  39.900381   9.886515   7.696238  4.983811  1.847629  62.314663  1.999239   96.738744  39.900381  18.115594   0.020089  74.453955
t7      6.000756  39.883867   9.851620   7.728332  4.981129  1.847599  62.035421  1.999113   96.861196  39.883867  18.088278   0.023434  74.363185
t8      6.000827  39.867377   9.816919   7.760252  4.978451  1.847571  61.756656  1.998989   96.983451  39.867377  18.060986   0.026778  74.272484
t9      6.000890  39.850913   9.782410   7.792001  4.975779  1.847544  61.478372  1.998864   97.105507  39.850913  18.033719   0.030122  74.181850
t10     6.000944  39.834475   9.748094   7.823579  4.973111  1.847519  61.200570  1.998741   97.227364  39.834475  18.006476   0.033465  74.091285
t11     6.000988  39.818061   9.713968   7.854987  4.970448  1.847495  60.923254  1.998617   97.349020  39.818061  17.979257   0.036806  74.000787
t12     6.001024  39.801672   9.680034   7.886225  4.967789  1.847473  60.646426  1.998494   97.470472  39.801672  17.952063   0.040147  73.910358
t13     6.001052  39.785308   9.646288   7.917295  4.965136  1.847452  60.370089  1.998372   97.591719  39.785308  17.924893   0.043487  73.819997
t14     6.001070  39.768970   9.612732   7.948198  4.962487  1.847433  60.094246  1.998250   97.712759  39.768970  17.897747   0.046826  73.729705
t15     6.001081  39.752656   9.579363   7.978934  4.959843  1.847415  59.818899  1.998128   97.833591  39.752656  17.870626   0.050164  73.639480
t16     6.001082  39.736367   9.546181   8.009504  4.957204  1.847399  59.544051  1.998007   97.954213  39.736367  17.843530   0.053501  73.549325
t17     6.001075  39.720103   9.513186   8.039910  4.954570  1.847385  59.269706  1.997886   98.074623  39.720103  17.816458   0.056837  73.459237
t18     6.001060  39.703864   9.480376   8.070151  4.951941  1.847372  58.995865  1.997766   98.194819  39.703864  17.789411   0.060173  73.369218
t19     6.001036  39.687650   9.447751   8.100230  4.949317  1.847360  58.722531  1.997646   98.314800  39.687650  17.762389   0.063507  73.279268
t20     6.001004  39.671461   9.415310   8.130146  4.946697  1.847350  58.449708  1.997527   98.434564  39.671461  17.735391   0.066841  73.189386
t21     6.000963  39.655296   9.383051   8.159901  4.944083  1.847342  58.177398  1.997408   98.554108  39.655296  17.708418   0.070173  73.099573
t22     6.000914  39.639156   9.350975   8.189495  4.941474  1.847335  57.905604  1.997289   98.673432  39.639156  17.681470   0.073505  73.009828
t23     6.000858  39.623040   9.319081   8.218930  4.938869  1.847330  57.634329  1.997171   98.792534  39.623040  17.654546   0.076835  72.920152
t24     6.000793  39.606950   9.287366   8.248206  4.936270  1.847326  57.363575  1.997053   98.911411  39.606950  17.627648   0.080165  72.830545
t25     6.000719  39.590883   9.255832   8.277324  4.933676  1.847324  57.093346  1.996936   99.030062  39.590883  17.600774   0.083494  72.741007
t26     6.000638  39.574842   9.224477   8.306285  4.931087  1.847323  56.823645  1.996819   99.148485  39.574842  17.573925   0.086822  72.651538
t27     6.000549  39.558825   9.193300   8.335090  4.928504  1.847325  56.554474  1.996702   99.266678  39.558825  17.547101   0.090148  72.562137
t28     6.000453  39.542832   9.162300   8.363740  4.925925  1.847327  56.285836  1.996586   99.384640  39.542832  17.520302   0.093474  72.472806
t29     6.000348  39.526864   9.131477   8.392235  4.923352  1.847332  56.017734  1.996470   99.502368  39.526864  17.493528   0.096799  72.383544
t30     6.000235  39.510920   9.100829   8.420577  4.920784  1.847338  55.750172  1.996355   99.619861  39.510920  17.466779   0.100123  72.294351
t31     6.000115  39.495001   9.070357   8.448766  4.918221  1.847346  55.483152  1.996240   99.737117  39.495001  17.440055   0.103445  72.205227
t32     5.999987  39.479105   9.040058   8.476803  4.915664  1.847355  55.216676  1.996125   99.854134  39.479105  17.413356   0.106767  72.116172
t33     5.999851  39.463235   9.009934   8.504689  4.913112  1.847366  54.950750  1.996011   99.970910  39.463235  17.386682   0.110088  72.027187
t34     5.999708  39.447388   8.979981   8.532425  4.910565  1.847378  54.685374  1.995897  100.087443  39.447388  17.360033   0.113408  71.938271
t35     5.999557  39.431566   8.950201   8.560012  4.908024  1.847393  54.420552  1.995783  100.203731  39.431566  17.333410   0.116726  71.849424
t36     5.999399  39.415767   8.920591   8.587450  4.905488  1.847409  54.156288  1.995670  100.319773  39.415767  17.306812   0.120044  71.760647
