           S_ALK        S_I       S_ND       S_NH      S_NO       S_O        S_S      X_BA        X_BH        X_I       X_ND        X_P        X_S
t0      6.000000  40.000000  10.100000   7.500000  5.000000  0.000000  64.000000  2.000000   96.000000  40.000000  18.280000   0.000000  75.000000
t1      6.005893  40.000000  10.053695   7.543523  4.961024  0.000000  63.771790  1.999817   96.114430  40.000000  18.274550   0.003352  74.999141
t2      6.011748  39.999987  10.007673   7.586824  4.922323  0.000494  63.543477  1.999637   96.229084  39.999987  18.268993   0.006707  74.997861
t3      6.017579  39.999962   9.961874   7.629927  4.883744  0.000669  63.315175  1.999458   96.343757  39.999962  18.263390   0.010067  74.996404
t4      6.023389  39.999924   9.916276   7.672841  4.845236  0.000731  63.086927  1.999279   96.458377  39.999924  18.257759   0.013431  74.994854
t5      6.029181  39.999873   9.870872   7.715568  4.806782  0.000752  62.858752  1.999101   96.572917  39.999873  18.252110   0.016798  74.993242
t6      6.034953  39.999810   9.825658   7.758111  4.768376  0.000760  62.630658  1.998922   96.687365  39.999810  18.246443   0.020170  74.991578
t7      6.040708  39.999734   9.780634   7.800471  4.730015  0.000762  62.402652  1.998744   96.801716  39.999734  18.240762   0.023545  74.989866
t8      6.046445  39.999645   9.735798   7.842647  4.691700  0.000762  62.174740  1.998566   96.915966  39.999645  18.235065   0.026924  74.988109
t9      6.052163  39.999544   9.691150   7.884642  4.653431  0.000762  61.946925  1.998388   97.030111  39.999544  18.229353   0.030308  74.986307
t10     6.057863  39.999431   9.646690   7.926455  4.615209  0.000761  61.719214  1.998210   97.144148  39.999431  18.223627   0.033695  74.984461
t11     6.063545  39.999305   9.602416   7.968087  4.577035  0.000761  61.491610  1.998032   97.258076  39.999305  18.217887   0.037086  74.982572
t12     6.069209  39.999166   9.558328   8.009538  4.538908  0.000760  61.264118  1.997854   97.371890  39.999166  18.212132   0.040481  74.980639
t13     6.074855  39.999015   9.514426   8.050810  4.500830  0.000760  61.036744  1.997676   97.485588  39.999015  18.206363   0.043880  74.978664
t14     6.080483  39.998852   9.470710   8.091903  4.462802  0.000759  60.809492  1.997499   97.599167  39.998852  18.200579   0.047283  74.976647
t15     6.086093  39.998676   9.427178   8.132817  4.424824  0.000758  60.582367  1.997321   97.712624  39.998676  18.194782   0.050690  74.974589
t16     6.091684  39.998488   9.383831   8.173553  4.386897  0.000758  60.355375  1.997143   97.825956  39.998488  18.188971   0.054101  74.972489
t17     6.097257  39.998288   9.340667   8.214112  4.349022  0.000757  60.128520  1.996966   97.939160  39.998288  18.183147   0.057515  74.970349
t18     6.102812  39.998076   9.297687   8.254494  4.311200  0.000757  59.901808  1.996788   98.052232  39.998076  18.177309   0.060934  74.968169
t19     6.108349  39.997851   9.254889   8.294700  4.273431  0.000756  59.675244  1.996611   98.165171  39.997851  18.171457   0.064356  74.965949
t20     6.113868  39.997614   9.212274   8.334731  4.235716  0.000756  59.448833  1.996433   98.277972  39.997614  18.165593   0.067782  74.963691
t21     6.119369  39.997365   9.169841   8.374586  4.198056  0.000755  59.222581  1.996256   98.390632  39.997365  18.159715   0.071212  74.961394
t22     6.124851  39.997104   9.127588   8.414268  4.160452  0.000755  58.996492  1.996079   98.503148  39.997104  18.153825   0.074646  74.959060
t23     6.130315  39.996830   9.085517   8.453776  4.122905  0.000755  58.770574  1.995901   98.615517  39.996830  18.147922   0.078084  74.956689
t24     6.135761  39.996545   9.043625   8.493110  4.085415  0.000754  58.544830  1.995724   98.727736  39.996545  18.142006   0.081525  74.954280
t25     6.141189  39.996247   9.001914   8.532273  4.047983  0.000754  58.319267  1.995547   98.839800  39.996247  18.136078   0.084971  74.951836
t26     6.146598  39.995937   8.960381   8.571263  4.010611  0.000753  58.093891  1.995370   98.951708  39.995937  18.130138   0.088420  74.949357
t27     6.151989  39.995616   8.919027   8.610083  3.973298  0.000753  57.868707  1.995193   99.063454  39.995616  18.124186   0.091873  74.946842
t28     6.157362  39.995282   8.877851   8.648732  3.936047  0.000753  57.643721  1.995016   99.175035  39.995282  18.118221   0.095329  74.944294
t29     6.162717  39.994936   8.836853   8.687211  3.898857  0.000752  57.418939  1.994839   99.286449  39.994936  18.112245   0.098790  74.941712
t30     6.168053  39.994579   8.796032   8.725522  3.861731  0.000752  57.194367  1.994663   99.397691  39.994579  18.106258   0.102254  74.939097
t31     6.173371  39.994209   8.755387   8.763663  3.824667  0.000752  56.970012  1.994486   99.508758  39.994209  18.100259   0.105722  74.936450
t32     6.178671  39.993828   8.714918   8.801637  3.787669  0.000752  56.745879  1.994309   99.619646  39.993828  18.094249   0.109194  74.933771
t33     6.183952  39.993435   8.674624   8.839444  3.750736  0.000751  56.521974  1.994133   99.730351  39.993435  18.088228   0.112669  74.931061
t34     6.189215  39.993030   8.634505   8.877084  3.713870  0.000751  56.298304  1.993956   99.840869  39.993030  18.082196   0.116148  74.928322
t35     6.194460  39.992613   8.594561   8.914559  3.677071  0.000751  56.074876  1.993780   99.951196  39.992613  18.076154   0.119631  74.925552
t36     6.199686  39.992184   8.554790   8.951868  3.640341  0.000751  55.851696  1.993603  100.061329  39.992184  18.070101   0.123118  74.922754
t37     6.204894  39.991744   8.515192   8.989013  3.603681  0.000751  55.628770  1.993427  100.171264  39.991744  18.064038   0.126608  74.919928
t38     6.210083  39.991292   8.475767   9.025994  3.567091  0.000751  55.406106  1.993251  100.280996  39.991292  18.057965   0.130102  74.917075
t39     6.215254  39.990828   8.436514   9.062812  3.530573  0.000751  55.183709  1.993075  100.390521  39.990828  18.051883   0.133600  74.914195
t40     6.220406  39.990353   8.397432   9.099468  3.494127  0.000751  54.961587  1.992898  100.499835  39.990353  18.045790   0.137101  74.911290
t41     6.225540  39.989866   8.358522   9.135962  3.457755  0.000750  54.739747  1.992722  100.608934  39.989866  18.039688   0.140606  74.908359
t42     6.230655  39.989367   8.319781   9.172295  3.421459  0.000750  54.518196  1.992546  100.717814  39.989367  18.033577   0.144115  74.905405
t43     6.235752  39.988857   8.281210   9.208467  3.385238  0.000750  54.296941  1.992370  100.826470  39.988857  18.027457   0.147627  74.902427
t44     6.240830  39.988335   8.242809   9.244480  3.349094  0.000750  54.075989  1.992194  100.934897  39.988335  18.021329   0.151143  74.899427
t45     6.245889  39.987802   8.204576   9.280334  3.313029  0.000750  53.855348  1.992019  101.043092  39.987802  18.015192   0.154662  74.896405
t46     6.250930  39.987257   8.166510   9.316030  3.277043  0.000750  53.635025  1.991843  101.151049  39.987257  18.009046   0.158185  74.893362
t47     6.255952  39.986701   8.128613   9.351569  3.241138  0.000751  53.415028  1.991667  101.258764  39.986701  18.002893   0.161712  74.890299
t48     6.260956  39.986134   8.090881   9.386951  3.205315  0.000751  53.195365  1.991492  101.366232  39.986134  17.996731   0.165242  74.887218
t49     6.265941  39.985554   8.053317   9.422176  3.169575  0.000751  52.976042  1.991316  101.473449  39.985554  17.990563   0.168776  74.884118
t50     6.270907  39.984964   8.015917   9.457247  3.133919  0.000751  52.757069  1.991141  101.580409  39.984964  17.984386   0.172313  74.881001
t51     6.275854  39.984362   7.978683   9.492163  3.098349  0.000751  52.538453  1.990965  101.687108  39.984362  17.978203   0.175854  74.877868
t52     6.280782  39.983749   7.941613   9.526925  3.062866  0.000751  52.320203  1.990790  101.793540  39.983749  17.972013   0.179398  74.874720
t53     6.285691  39.983125   7.904706   9.561534  3.027471  0.000751  52.102326  1.990615  101.899701  39.983125  17.965817   0.182946  74.871558
t54     6.290582  39.982489   7.867963   9.595991  2.992165  0.000752  51.884832  1.990440  102.005584  39.982489  17.959614   0.186497  74.868383
t55     6.295453  39.981842   7.831382   9.630297  2.956951  0.000752  51.667728  1.990264  102.111186  39.981842  17.953405   0.190052  74.865196
t56     6.300306  39.981184   7.794963   9.664451  2.921828  0.000752  51.451023  1.990089  102.216500  39.981184  17.947191   0.193611  74.861998
t57     6.305140  39.980514   7.758705   9.698456  2.886800  0.000752  51.234727  1.989914  102.321521  39.980514  17.940971   0.197172  74.858789
t58     6.309954  39.979833   7.722608   9.732312  2.851866  0.000753  51.018848  1.989740  102.426244  39.979833  17.934746   0.200737  74.855573
t59     6.314749  39.979142   7.686670   9.766019  2.817030  0.000753  50.803396  1.989565  102.530663  39.979142  17.928516   0.204306  74.852348
t60     6.319525  39.978439   7.650892   9.799578  2.782291  0.000753  50.588379  1.989390  102.634771  39.978439  17.922282   0.207878  74.849117
t61     6.324282  39.977725   7.615272   9.832991  2.747652  0.000754  50.373806  1.989215  102.738564  39.977725  17.916043   0.211454  74.845881
t62     6.329020  39.977000   7.579811   9.866257  2.713114  0.000754  50.159689  1.989041  102.842035  39.977000  17.909801   0.215032  74.842640
t63     6.333738  39.976264   7.544506   9.899379  2.678678  0.000755  49.946036  1.988866  102.945178  39.976264  17.903555   0.218615  74.839397
t64     6.338437  39.975517   7.509358   9.932355  2.644347  0.000755  49.732856  1.988692  103.047987  39.975517  17.897305   0.222200  74.836153
t65     6.343117  39.974758   7.474366   9.965189  2.610122  0.000755  49.520161  1.988517  103.150455  39.974758  17.891053   0.225789  74.832908
t66     6.347777  39.973989   7.439529   9.997879  2.576004  0.000756  49.307961  1.988343  103.252577  39.973989  17.884798   0.229381  74.829664
t67     6.352418  39.973209   7.404847  10.030428  2.541996  0.000756  49.096265  1.988169  103.354346  39.973209  17.878541   0.232977  74.826423
t68     6.357039  39.972418   7.370319  10.062835  2.508098  0.000757  48.885084  1.987994  103.455755  39.972418  17.872283   0.236575  74.823186
t69     6.361640  39.971617   7.335943  10.095102  2.474313  0.000758  48.674430  1.987820  103.556797  39.971617  17.866022   0.240178  74.819954
t70     6.366221  39.970804   7.301720  10.127230  2.440643  0.000758  48.464312  1.987646  103.657466  39.970804  17.859761   0.243783  74.816729
t71     6.370783  39.969980   7.267649  10.159219  2.407088  0.000759  48.254743  1.987472  103.757755  39.969980  17.853499   0.247391  74.813512
t72     6.375325  39.969146   7.233729  10.191070  2.373652  0.000759  48.045733  1.987298  103.857656  39.969146  17.847236   0.251003  74.810305
t73     6.379847  39.968301   7.199959  10.222785  2.340336  0.000760  47.837294  1.987124  103.957162  39.968301  17.840974   0.254618  74.807109
t74     6.384349  39.967445   7.166338  10.254363  2.307142  0.000761  47.629438  1.986951  104.056265  39.967445  17.834712   0.258236  74.803927
t75     6.388831  39.966579   7.132867  10.285807  2.274072  0.000761  47.422177  1.986777  104.154959  39.966579  17.828450   0.261858  74.800759
t76     6.393293  39.965701   7.099543  10.317116  2.241127  0.000762  47.215522  1.986603  104.253235  39.965701  17.822191   0.265482  74.797607
t77     6.397735  39.964813   7.066366  10.348292  2.208311  0.000763  47.009487  1.986430  104.351086  39.964813  17.815933   0.269110  74.794474
t78     6.402156  39.963915   7.033336  10.379336  2.175624  0.000764  46.804083  1.986256  104.448503  39.963915  17.809677   0.272741  74.791361
t79     6.406557  39.963005   7.000452  10.410248  2.143070  0.000764  46.599324  1.986083  104.545479  39.963005  17.803424   0.276375  74.788269
t80     6.410938  39.962085   6.967713  10.441030  2.110649  0.000765  46.395223  1.985910  104.642005  39.962085  17.797174   0.280012  74.785201
t81     6.415298  39.961155   6.935117  10.471682  2.078365  0.000766  46.191793  1.985736  104.738073  39.961155  17.790927   0.283652  74.782158
t82     6.419637  39.960214   6.902666  10.502205  2.046220  0.000767  45.989048  1.985563  104.833673  39.960214  17.784685   0.287295  74.779143
t83     6.423956  39.959262   6.870356  10.532601  2.014216  0.000768  45.787002  1.985390  104.928798  39.959262  17.778447   0.290941  74.776157
t84     6.428254  39.958300   6.838188  10.562870  1.982356  0.000769  45.585668  1.985217  105.023438  39.958300  17.772215   0.294590  74.773203
t85     6.432531  39.957328   6.806162  10.593014  1.950641  0.000769  45.385061  1.985044  105.117583  39.957328  17.765988   0.298242  74.770282
t86     6.436786  39.956345   6.774275  10.623032  1.919074  0.000770  45.185196  1.984871  105.211226  39.956345  17.759767   0.301897  74.767397
t87     6.441021  39.955351   6.742527  10.652927  1.887658  0.000771  44.986088  1.984699  105.304355  39.955351  17.753553   0.305555  74.764550
t88     6.445235  39.954348   6.710918  10.682700  1.856395  0.000772  44.787751  1.984526  105.396961  39.954348  17.747346   0.309216  74.761744
t89     6.449427  39.953333   6.679446  10.712350  1.825288  0.000773  44.590202  1.984353  105.489034  39.953333  17.741148   0.312880  74.758980
t90     6.453598  39.952309   6.648111  10.741880  1.794340  0.000774  44.393457  1.984181  105.580565  39.952309  17.734957   0.316547  74.756261
t91     6.457747  39.951274   6.616912  10.771290  1.763553  0.000776  44.197531  1.984008  105.671542  39.951274  17.728776   0.320217  74.753590
t92     6.461875  39.950229   6.585847  10.800582  1.732930  0.000777  44.002441  1.983836  105.761955  39.950229  17.722605   0.323889  74.750969
t93     6.465980  39.949173   6.554916  10.829756  1.702473  0.000778  43.808204  1.983664  105.851793  39.949173  17.716444   0.327564  74.748400
t94     6.470064  39.948108   6.524118  10.858814  1.672187  0.000779  43.614837  1.983491  105.941045  39.948108  17.710294   0.331242  74.745887
t95     6.474126  39.947032   6.493452  10.887756  1.642073  0.000780  43.422358  1.983319  106.029700  39.947032  17.704155   0.334923  74.743431
t96     6.478165  39.945945   6.462918  10.916584  1.612135  0.000781  43.230784  1.983147  106.117746  39.945945  17.698029   0.338607  74.741037
t97     6.482182  39.944849   6.432513  10.945299  1.582376  0.000782  43.040133  1.982975  106.205171  39.944849  17.691917   0.342293  74.738706
t98     6.486177  39.943743   6.402237  10.973902  1.552798  0.000784  42.850425  1.982803  106.291964  39.943743  17.685818   0.345982  74.736442
t99     6.490149  39.942626   6.372090  11.002394  1.523406  0.000785  42.661678  1.982631  106.378112  39.942626  17.679733   0.349674  74.734247
t100    6.494098  39.941499   6.342070  11.030776  1.494202  0.000786  42.473911  1.982459  106.463602  39.941499  17.673664   0.353368  74.732125
t101    6.498025  39.940362   6.312175  11.059050  1.465190  0.000787  42.287145  1.982288  106.548423  39.940363  17.667611   0.357065  74.730079
t102    6.501928  39.939216   6.282406  11.087217  1.436374  0.000789  42.101399  1.982116  106.632559  39.939216  17.661575   0.360764  74.728112
t103    6.505808  39.938059   6.252761  11.115277  1.407756  0.000790  41.916694  1.981944  106.715999  39.938059  17.655557   0.364466  74.726227
t104    6.509665  39.936892   6.223239  11.143232  1.379340  0.000791  41.733051  1.981773  106.798729  39.936892  17.649557   0.368171  74.724428
t105    6.513498  39.935715   6.193839  11.171084  1.351131  0.000793  41.550491  1.981602  106.880735  39.935715  17.643576   0.371878  74.722719
t106    6.517307  39.934528   6.164560  11.198833  1.323131  0.000794  41.369036  1.981430  106.962002  39.934529  17.637616   0.375587  74.721103
t107    6.521093  39.933331   6.135400  11.226481  1.295344  0.000796  41.188707  1.981259  107.042516  39.933332  17.631677   0.379299  74.719584
t108    6.524854  39.932125   6.106359  11.254029  1.267775  0.000797  41.009529  1.981088  107.122264  39.932126  17.625761   0.383014  74.718165
t109    6.528591  39.930908   6.077436  11.281478  1.240428  0.000799  40.831523  1.980917  107.201229  39.930911  17.619867   0.386731  74.716852
t110    6.532304  39.929682   6.048629  11.308830  1.213306  0.000800  40.654714  1.980746  107.279397  39.929685  17.613998   0.390450  74.715647
t111    6.535991  39.928445   6.019937  11.336086  1.186413  0.000802  40.479124  1.980575  107.356753  39.928451  17.608153   0.394171  74.714555
t112    6.539654  39.927199   5.991359  11.363247  1.159754  0.000803  40.304779  1.980404  107.433281  39.927207  17.602336   0.397895  74.713581
t113    6.543292  39.925943   5.962893  11.390314  1.133333  0.000805  40.131703  1.980234  107.508967  39.925956  17.596545   0.401621  74.712731
t114    6.546905  39.924678   5.934540  11.417290  1.107155  0.000806  39.959921  1.980064  107.583797  39.924697  17.590784   0.405350  74.712010
t115    6.550492  39.923402   5.906296  11.444175  1.081223  0.000808  39.789459  1.979894  107.657758  39.923432  17.585054   0.409080  74.711426
t116    6.554053  39.922117   5.878162  11.470971  1.055542  0.000809  39.620342  1.979724  107.730836  39.922163  17.579357   0.412813  74.710986
t117    6.557588  39.920822   5.850136  11.497679  1.030117  0.000811  39.452597  1.979555  107.803020  39.920892  17.573694   0.416548  74.710697
t118    6.561097  39.919518   5.822216  11.524300  1.004953  0.000813  39.286252  1.979386  107.874294  39.919620  17.568067   0.420285  74.710568
t119    6.564580  39.918203   5.794401  11.550836  0.980054  0.000814  39.121331  1.979218  107.944646  39.918348  17.562479   0.424024  74.710607
t120    6.568036  39.916880   5.766691  11.577289  0.955425  0.000816  38.957864  1.979050  108.014060  39.917079  17.556930   0.427765  74.710819
t121    6.571465  39.915546   5.739083  11.603660  0.931071  0.000818  38.795878  1.978883  108.082523  39.915814  17.551424   0.431509  74.711214
t122    6.574867  39.914203   5.711576  11.629950  0.906996  0.000819  38.635401  1.978717  108.150019  39.914553  17.545961   0.435254  74.711799
t123    6.578242  39.912851   5.684170  11.656161  0.883206  0.000821  38.476462  1.978552  108.216530  39.913298  17.540543   0.439002  74.712579
t124    6.581589  39.911489   5.656862  11.682294  0.859706  0.000823  38.319088  1.978388  108.282042  39.912050  17.535171   0.442751  74.713562
t125    6.584908  39.910117   5.629651  11.708351  0.836501  0.000824  38.163309  1.978225  108.346535  39.910809  17.529849   0.446502  74.714755
t126    6.588199  39.908736   5.602536  11.734333  0.813595  0.000826  38.009154  1.978063  108.409994  39.909576  17.524576   0.450256  74.716163
t127    6.591462  39.907346   5.575516  11.760242  0.790995  0.000828  37.856651  1.977901  108.472398  39.908351  17.519354   0.454011  74.717794
t128    6.594696  39.905946   5.548589  11.786079  0.768704  0.000830  37.705831  1.977741  108.533730  39.907136  17.514185   0.457768  74.719652
t129    6.597901  39.904536   5.521754  11.811846  0.746729  0.000831  37.556723  1.977581  108.593972  39.905929  17.509070   0.461527  74.721743
t130    6.601077  39.903118   5.495009  11.837544  0.725075  0.000833  37.409355  1.977423  108.653103  39.904732  17.504011   0.465287  74.724074
t131    6.604223  39.901689   5.468353  11.863174  0.703746  0.000835  37.263757  1.977266  108.711105  39.903544  17.499009   0.469050  74.726651
t132    6.607340  39.900252   5.441785  11.888739  0.682747  0.000837  37.119958  1.977110  108.767960  39.902366  17.494064   0.472814  74.729478
t133    6.610426  39.898805   5.415304  11.914239  0.662085  0.000839  36.977988  1.976954  108.823648  39.901198  17.489180   0.476579  74.732562
t134    6.613483  39.897349   5.388907  11.939677  0.641763  0.000840  36.837873  1.976800  108.878150  39.900040  17.484356   0.480347  74.735907
t135    6.616509  39.895884   5.362594  11.965052  0.621787  0.000842  36.699644  1.976647  108.931447  39.898891  17.479595   0.484116  74.739520
t136    6.619505  39.894409   5.336364  11.990367  0.602162  0.000844  36.563327  1.976495  108.983522  39.897753  17.474897   0.487886  74.743406
t137    6.622469  39.892925   5.310214  12.015623  0.582893  0.000846  36.428949  1.976344  109.034356  39.896625  17.470263   0.491658  74.747569
t138    6.625402  39.891432   5.284145  12.040822  0.563984  0.000848  36.296537  1.976194  109.083932  39.895506  17.465696   0.495432  74.752016
t139    6.628304  39.889930   5.258154  12.065964  0.545440  0.000850  36.166116  1.976045  109.132232  39.894398  17.461195   0.499206  74.756750
t140    6.631174  39.888418   5.232241  12.091051  0.527265  0.000851  36.037712  1.975897  109.179240  39.893300  17.456763   0.502983  74.761777
t141    6.634012  39.886898   5.206405  12.116083  0.509463  0.000853  35.911346  1.975750  109.224940  39.892212  17.452400   0.506760  74.767102
t142    6.636819  39.885368   5.180643  12.141063  0.492039  0.000855  35.787043  1.975604  109.269317  39.891134  17.448108   0.510539  74.772728
t143    6.639593  39.883830   5.154956  12.165990  0.474995  0.000857  35.664822  1.975459  109.312357  39.890066  17.443887   0.514319  74.778660
t144    6.642334  39.882282   5.129342  12.190867  0.458337  0.000859  35.544704  1.975316  109.354047  39.889008  17.439738   0.518100  74.784903
t145    6.645043  39.880725   5.103801  12.215693  0.442066  0.000861  35.426706  1.975173  109.394375  39.887960  17.435663   0.521883  74.791460
t146    6.647719  39.879159   5.078331  12.240469  0.426186  0.000862  35.310844  1.975031  109.433330  39.886922  17.431662   0.525666  74.798334
t147    6.650363  39.877584   5.052933  12.265197  0.410699  0.000864  35.197132  1.974890  109.470902  39.885894  17.427736   0.529450  74.805528
t148    6.652973  39.876000   5.027604  12.289877  0.395608  0.000866  35.085583  1.974751  109.507083  39.884876  17.423885   0.533236  74.813045
t149    6.655550  39.874407   5.002345  12.314509  0.380914  0.000868  34.976207  1.974612  109.541866  39.883868  17.420110   0.537022  74.820889
t150    6.658094  39.872805   4.977155  12.339094  0.366619  0.000870  34.869011  1.974475  109.575246  39.882870  17.416412   0.540810  74.829059
t151    6.660605  39.871195   4.952034  12.363631  0.352724  0.000872  34.764000  1.974338  109.607219  39.881882  17.412791   0.544598  74.837559
t152    6.663082  39.869575   4.926981  12.388122  0.339229  0.000873  34.661176  1.974203  109.637784  39.880904  17.409247   0.548387  74.846390
t153    6.665527  39.867947   4.901996  12.412566  0.326134  0.000875  34.560540  1.974068  109.666940  39.879935  17.405781   0.552177  74.855552
t154    6.667938  39.866309   4.877080  12.436962  0.313439  0.000877  34.462089  1.973935  109.694689  39.878977  17.402392   0.555967  74.865045
t155    6.670316  39.864663   4.852231  12.461312  0.301142  0.000879  34.365815  1.973802  109.721035  39.878028  17.399081   0.559758  74.874868
t156    6.672661  39.863008   4.827451  12.485614  0.289244  0.000881  34.271712  1.973671  109.745984  39.877090  17.395847   0.563550  74.885023
t157    6.674973  39.861345   4.802739  12.509868  0.277740  0.000882  34.179766  1.973540  109.769544  39.876161  17.392690   0.567342  74.895506
t158    6.677252  39.859672   4.778096  12.534073  0.266629  0.000884  34.089962  1.973411  109.791724  39.875242  17.389610   0.571135  74.906316
t159    6.679498  39.857991   4.753523  12.558229  0.255907  0.000886  34.002283  1.973283  109.812536  39.874333  17.386606   0.574928  74.917450
t160    6.681713  39.856301   4.729019  12.582334  0.245572  0.000888  33.916707  1.973155  109.831994  39.873433  17.383677   0.578722  74.928906
t161    6.683894  39.854602   4.704586  12.606388  0.235618  0.000889  33.833210  1.973029  109.850115  39.872543  17.380823   0.582516  74.940680
t162    6.686044  39.852895   4.680225  12.630390  0.226041  0.000891  33.751765  1.972904  109.866917  39.871663  17.378042   0.586311  74.952768
t163    6.688163  39.851179   4.655936  12.654337  0.216836  0.000893  33.672341  1.972779  109.882419  39.870793  17.375334   0.590105  74.965165
t164    6.690250  39.849455   4.631720  12.678230  0.207996  0.000895  33.594905  1.972656  109.896644  39.869933  17.372698   0.593900  74.977866
t165    6.692306  39.847721   4.607579  12.702065  0.199516  0.000896  33.519421  1.972534  109.909614  39.869082  17.370132   0.597695  74.990866
t166    6.694331  39.845980   4.583514  12.725843  0.191389  0.000898  33.445852  1.972412  109.921357  39.868240  17.367634   0.601491  75.004159
t167    6.696326  39.844229   4.559526  12.749560  0.183607  0.000900  33.374155  1.972292  109.931899  39.867409  17.365204   0.605286  75.017737
t168    6.698292  39.842470   4.535616  12.773215  0.176164  0.000901  33.304289  1.972173  109.941269  39.866587  17.362840   0.609081  75.031595
t169    6.700228  39.840703   4.511787  12.796807  0.169050  0.000903  33.236208  1.972055  109.949496  39.865775  17.360539   0.612877  75.045724
t170    6.702135  39.838927   4.488038  12.820332  0.162259  0.000904  33.169864  1.971937  109.956613  39.864972  17.358301   0.616672  75.060117
t171    6.704013  39.837143   4.464373  12.843791  0.155781  0.000906  33.105209  1.971821  109.962651  39.864179  17.356123   0.620468  75.074766
t172    6.705864  39.835350   4.440792  12.867179  0.149607  0.000908  33.042194  1.971706  109.967645  39.863395  17.354004   0.624263  75.089663
t173    6.707687  39.833549   4.417298  12.890496  0.143728  0.000909  32.980765  1.971591  109.971628  39.862621  17.351941   0.628058  75.104799
t174    6.709484  39.831739   4.393892  12.913738  0.138135  0.000911  32.920872  1.971478  109.974636  39.861856  17.349933   0.631853  75.120166
