          H_grow  Han_grow    A_grow   decay_H   decay_A   Ammonia  hydro_org   hydro_N
t            NaN       NaN       NaN       NaN       NaN       NaN        NaN       NaN
t0      0.003008  0.000273  0.000015  0.000555  0.000003  0.000897   0.001501  0.000366
t1      0.003009  0.000274  0.000015  0.000556  0.000003  0.000895   0.001503  0.000366
t2      0.003010  0.000274  0.000015  0.000557  0.000003  0.000893   0.001505  0.000367
t3      0.003010  0.000274  0.000015  0.000557  0.000003  0.000891   0.001507  0.000367
t4      0.003011  0.000274  0.000015  0.000558  0.000003  0.000889   0.001509  0.000367
t5      0.003012  0.000274  0.000015  0.000559  0.000003  0.000887   0.001510  0.000368
t6      0.003012  0.000274  0.000015  0.000560  0.000003  0.000885   0.001512  0.000368
t7      0.003013  0.000274  0.000015  0.000560  0.000003  0.000883   0.001514  0.000368
t8      0.003013  0.000274  0.000015  0.000561  0.000003  0.000881   0.001516  0.000369
t9      0.003014  0.000274  0.000015  0.000562  0.000003  0.000879   0.001518  0.000369
t10     0.003014  0.000274  0.000015  0.000562  0.000003  0.000877   0.001520  0.000369
t11     0.003014  0.000274  0.000015  0.000563  0.000003  0.000875   0.001521  0.000370
t12     0.003015  0.000274  0.000015  0.000564  0.000003  0.000873   0.001523  0.000370
t13     0.003015  0.000274  0.000015  0.000565  0.000003  0.000871   0.001525  0.000370
t14     0.003015  0.000274  0.000015  0.000565  0.000003  0.000869   0.001527  0.000371
t15     0.003016  0.000274  0.000015  0.000566  0.000003  0.000867   0.001528  0.000371
t16     0.003016  0.000274  0.000015  0.000567  0.000003  0.000865   0.001530  0.000371
t17     0.003016  0.000274  0.000015  0.000567  0.000003  0.000863   0.001532  0.000372
t18     0.003016  0.000274  0.000015  0.000568  0.000003  0.000861   0.001534  0.000372
t19     0.003016  0.000274  0.000015  0.000569  0.000003  0.000859   0.001536  0.000372
t20     0.003017  0.000274  0.000015  0.000569  0.000003  0.000857   0.001537  0.000373
t21     0.003017  0.000274  0.000015  0.000570  0.000003  0.000856   0.001539  0.000373
t22     0.003017  0.000274  0.000015  0.000571  0.000003  0.000854   0.001541  0.000373
t23     0.003017  0.000274  0.000015  0.000571  0.000003  0.000852   0.001543  0.000373
t24     0.003017  0.000274  0.000015  0.000572  0.000003  0.000850   0.001544  0.000374
t25     0.003016  0.000274  0.000015  0.000573  0.000003  0.000848   0.001546  0.000374
t26     0.003016  0.000274  0.000015  0.000574  0.000003  0.000846   0.001548  0.000374
t27     0.003016  0.000274  0.000015  0.000574  0.000003  0.000844   0.001550  0.000375
t28     0.003016  0.000274  0.000015  0.000575  0.000003  0.000843   0.001551  0.000375
t29     0.003016  0.000274  0.000015  0.000576  0.000003  0.000841   0.001553  0.000375
t30     0.003016  0.000274  0.000015  0.000576  0.000003  0.000839   0.001555  0.000376
t31     0.003015  0.000274  0.000015  0.000577  0.000003  0.000837   0.001557  0.000376
t32     0.003015  0.000274  0.000015  0.000578  0.000003  0.000835   0.001558  0.000376
t33     0.003015  0.000274  0.000015  0.000578  0.000003  0.000833   0.001560  0.000377
t34     0.003014  0.000274  0.000015  0.000579  0.000003  0.000832   0.001562  0.000377
t35     0.003014  0.000274  0.000015  0.000580  0.000003  0.000830   0.001563  0.000377
t36     0.003013  0.000273  0.000015  0.000580  0.000003  0.000828   0.001565  0.000377
t37     0.003013  0.000273  0.000015  0.000581  0.000003  0.000826   0.001567  0.000378
t38     0.003012  0.000273  0.000015  0.000582  0.000003  0.000824   0.001569  0.000378
t39     0.003012  0.000273  0.000015  0.000582  0.000003  0.000823   0.001570  0.000378
t40     0.003011  0.000273  0.000015  0.000583  0.000003  0.000821   0.001572  0.000379
t41     0.003011  0.000273  0.000015  0.000584  0.000003  0.000819   0.001574  0.000379
t42     0.003010  0.000273  0.000015  0.000584  0.000003  0.000817   0.001575  0.000379
t43     0.003009  0.000273  0.000015  0.000585  0.000003  0.000816   0.001577  0.000380
t44     0.003008  0.000273  0.000015  0.000586  0.000003  0.000814   0.001579  0.000380
t45     0.003008  0.000273  0.000015  0.000586  0.000003  0.000812   0.001580  0.000380
t46     0.003007  0.000273  0.000015  0.000587  0.000003  0.000811   0.001582  0.000380
t47     0.003006  0.000273  0.000015  0.000588  0.000003  0.000809   0.001584  0.000381
t48     0.003005  0.000273  0.000015  0.000588  0.000003  0.000807   0.001585  0.000381
t49     0.003004  0.000272  0.000015  0.000589  0.000003  0.000805   0.001587  0.000381
t50     0.003003  0.000272  0.000015  0.000590  0.000003  0.000804   0.001589  0.000381
t51     0.003002  0.000272  0.000015  0.000590  0.000003  0.000802   0.001590  0.000382
t52     0.003001  0.000272  0.000015  0.000591  0.000003  0.000800   0.001592  0.000382
t53     0.003000  0.000272  0.000015  0.000591  0.000003  0.000799   0.001593  0.000382
t54     0.002999  0.000272  0.000015  0.000592  0.000003  0.000797   0.001595  0.000383
t55     0.002998  0.000272  0.000015  0.000593  0.000003  0.000795   0.001597  0.000383
t56     0.002996  0.000272  0.000015  0.000593  0.000003  0.000794   0.001598  0.000383
t57     0.002995  0.000272  0.000015  0.000594  0.000003  0.000792   0.001600  0.000383
t58     0.002994  0.000271  0.000015  0.000595  0.000003  0.000791   0.001601  0.000384
t59     0.002992  0.000271  0.000015  0.000595  0.000003  0.000789   0.001603  0.000384
t60     0.002991  0.000271  0.000015  0.000596  0.000003  0.000787   0.001605  0.000384
t61     0.002990  0.000271  0.000015  0.000597  0.000003  0.000786   0.001606  0.000384
t62     0.002988  0.000271  0.000015  0.000597  0.000003  0.000784   0.001608  0.000385
t63     0.002987  0.000271  0.000015  0.000598  0.000003  0.000783   0.001609  0.000385
t64     0.002985  0.000271  0.000015  0.000598  0.000003  0.000781   0.001611  0.000385
t65     0.002984  0.000270  0.000015  0.000599  0.000003  0.000779   0.001613  0.000386
t66     0.002982  0.000270  0.000015  0.000600  0.000003  0.000778   0.001614  0.000386
t67     0.002980  0.000270  0.000015  0.000600  0.000003  0.000776   0.001616  0.000386
t68     0.002979  0.000270  0.000015  0.000601  0.000003  0.000775   0.001617  0.000386
t69     0.002977  0.000270  0.000015  0.000602  0.000003  0.000773   0.001619  0.000387
t70     0.002975  0.000270  0.000015  0.000602  0.000003  0.000772   0.001620  0.000387
t71     0.002973  0.000269  0.000015  0.000603  0.000003  0.000770   0.001622  0.000387
t72     0.002971  0.000269  0.000015  0.000603  0.000003  0.000769   0.001623  0.000387
t73     0.002969  0.000269  0.000015  0.000604  0.000003  0.000767   0.001625  0.000388
t74     0.002967  0.000269  0.000015  0.000605  0.000003  0.000766   0.001626  0.000388
t75     0.002965  0.000269  0.000015  0.000605  0.000003  0.000764   0.001628  0.000388
t76     0.002963  0.000268  0.000015  0.000606  0.000003  0.000763   0.001630  0.000388
t77     0.002961  0.000268  0.000015  0.000606  0.000003  0.000761   0.001631  0.000388
t78     0.002959  0.000268  0.000015  0.000607  0.000003  0.000760   0.001633  0.000389
t79     0.002957  0.000268  0.000015  0.000608  0.000003  0.000758   0.001634  0.000389
t80     0.002955  0.000268  0.000015  0.000608  0.000003  0.000757   0.001636  0.000389
t81     0.002953  0.000267  0.000015  0.000609  0.000003  0.000755   0.001637  0.000389
t82     0.002950  0.000267  0.000015  0.000609  0.000003  0.000754   0.001638  0.000390
t83     0.002948  0.000267  0.000015  0.000610  0.000003  0.000752   0.001640  0.000390
t84     0.002946  0.000267  0.000015  0.000611  0.000003  0.000751   0.001641  0.000390
t85     0.002943  0.000266  0.000015  0.000611  0.000003  0.000749   0.001643  0.000390
t86     0.002941  0.000266  0.000015  0.000612  0.000003  0.000748   0.001644  0.000391
t87     0.002938  0.000266  0.000015  0.000612  0.000003  0.000746   0.001646  0.000391
t88     0.002936  0.000266  0.000015  0.000613  0.000003  0.000745   0.001647  0.000391
t89     0.002933  0.000266  0.000015  0.000613  0.000003  0.000744   0.001649  0.000391
t90     0.002931  0.000265  0.000015  0.000614  0.000003  0.000742   0.001650  0.000391
t91     0.002928  0.000265  0.000015  0.000615  0.000003  0.000741   0.001652  0.000392
t92     0.002925  0.000265  0.000015  0.000615  0.000003  0.000739   0.001653  0.000392
t93     0.002922  0.000265  0.000015  0.000616  0.000003  0.000738   0.001654  0.000392
t94     0.002920  0.000264  0.000015  0.000616  0.000003  0.000737   0.001656  0.000392
t95     0.002917  0.000264  0.000015  0.000617  0.000003  0.000735   0.001657  0.000392
t96     0.002914  0.000264  0.000015  0.000617  0.000003  0.000734   0.001659  0.000393
t97     0.002911  0.000263  0.000015  0.000618  0.000003  0.000732   0.001660  0.000393
t98     0.002908  0.000263  0.000015  0.000619  0.000003  0.000731   0.001661  0.000393
t99     0.002905  0.000263  0.000015  0.000619  0.000003  0.000730   0.001663  0.000393
t100    0.002902  0.000263  0.000015  0.000620  0.000003  0.000728   0.001664  0.000393
t101    0.002899  0.000262  0.000015  0.000620  0.000003  0.000727   0.001666  0.000394
t102    0.002896  0.000262  0.000015  0.000621  0.000003  0.000726   0.001667  0.000394
t103    0.002892  0.000262  0.000015  0.000621  0.000003  0.000724   0.001668  0.000394
t104    0.002889  0.000261  0.000015  0.000622  0.000003  0.000723   0.001670  0.000394
t105    0.002886  0.000261  0.000015  0.000622  0.000003  0.000722   0.001671  0.000394
t106    0.002883  0.000261  0.000015  0.000623  0.000003  0.000720   0.001672  0.000395
t107    0.002879  0.000260  0.000015  0.000624  0.000003  0.000719   0.001674  0.000395
t108    0.002876  0.000260  0.000015  0.000624  0.000003  0.000718   0.001675  0.000395
t109    0.002872  0.000260  0.000015  0.000625  0.000003  0.000717   0.001676  0.000395
t110    0.002869  0.000259  0.000015  0.000625  0.000003  0.000715   0.001678  0.000395
t111    0.002866  0.000259  0.000015  0.000626  0.000003  0.000714   0.001679  0.000396
t112    0.002862  0.000259  0.000015  0.000626  0.000003  0.000713   0.001681  0.000396
