          H_grow  Han_grow        A_grow   decay_H   decay_A   Ammonia  hydro_org   hydro_N
t            NaN       NaN           NaN       NaN       NaN       NaN        NaN       NaN
t0      0.000000  0.002463  0.000000e+00  0.000556  0.000003  0.000898   0.000517  0.000126
t1      0.000019  0.002448  5.215101e-08  0.000556  0.000003  0.000895   0.000524  0.000128
t2      0.000026  0.002442  7.035710e-08  0.000557  0.000003  0.000892   0.000526  0.000128
t3      0.000028  0.002440  7.681273e-08  0.000558  0.000003  0.000889   0.000527  0.000128
t4      0.000029  0.002438  7.911467e-08  0.000558  0.000003  0.000886   0.000527  0.000128
t5      0.000029  0.002437  7.993825e-08  0.000559  0.000003  0.000883   0.000528  0.000128
t6      0.000029  0.002436  8.023464e-08  0.000560  0.000003  0.000880   0.000528  0.000128
t7      0.000029  0.002434  8.034303e-08  0.000560  0.000003  0.000877   0.000528  0.000128
t8      0.000029  0.002433  8.038446e-08  0.000561  0.000003  0.000874   0.000528  0.000129
t9      0.000029  0.002432  8.040211e-08  0.000562  0.000003  0.000871   0.000529  0.000129
t10     0.000029  0.002431  8.041140e-08  0.000562  0.000003  0.000868   0.000529  0.000129
t11     0.000029  0.002429  8.041783e-08  0.000563  0.000003  0.000865   0.000529  0.000129
t12     0.000029  0.002428  8.042337e-08  0.000563  0.000003  0.000862   0.000529  0.000129
t13     0.000029  0.002427  8.042872e-08  0.000564  0.000003  0.000859   0.000529  0.000129
t14     0.000029  0.002425  8.043416e-08  0.000565  0.000003  0.000856   0.000530  0.000129
t15     0.000029  0.002424  8.043977e-08  0.000565  0.000003  0.000853   0.000530  0.000129
t16     0.000029  0.002422  8.044561e-08  0.000566  0.000003  0.000850   0.000530  0.000129
t17     0.000029  0.002420  8.045170e-08  0.000567  0.000003  0.000847   0.000530  0.000129
t18     0.000029  0.002419  8.045806e-08  0.000567  0.000003  0.000844   0.000530  0.000129
t19     0.000029  0.002417  8.046469e-08  0.000568  0.000003  0.000841   0.000530  0.000129
t20     0.000029  0.002415  8.047162e-08  0.000569  0.000003  0.000838   0.000530  0.000129
t21     0.000029  0.002413  8.047886e-08  0.000569  0.000003  0.000835   0.000530  0.000128
t22     0.000029  0.002411  8.048641e-08  0.000570  0.000003  0.000833   0.000530  0.000128
t23     0.000029  0.002409  8.049429e-08  0.000571  0.000003  0.000830   0.000531  0.000128
t24     0.000029  0.002407  8.050251e-08  0.000571  0.000003  0.000827   0.000531  0.000128
t25     0.000029  0.002405  8.051109e-08  0.000572  0.000003  0.000824   0.000531  0.000128
t26     0.000029  0.002403  8.052003e-08  0.000573  0.000003  0.000821   0.000531  0.000128
t27     0.000029  0.002401  8.052934e-08  0.000573  0.000003  0.000818   0.000531  0.000128
t28     0.000029  0.002399  8.053904e-08  0.000574  0.000003  0.000815   0.000531  0.000128
t29     0.000029  0.002397  8.054914e-08  0.000575  0.000003  0.000812   0.000531  0.000128
t30     0.000029  0.002394  8.055964e-08  0.000575  0.000003  0.000810   0.000531  0.000128
t31     0.000029  0.002392  8.057057e-08  0.000576  0.000003  0.000807   0.000531  0.000128
t32     0.000029  0.002389  8.058192e-08  0.000577  0.000003  0.000804   0.000531  0.000128
t33     0.000029  0.002387  8.059371e-08  0.000577  0.000003  0.000801   0.000531  0.000128
t34     0.000029  0.002384  8.060595e-08  0.000578  0.000003  0.000798   0.000531  0.000128
t35     0.000029  0.002382  8.061865e-08  0.000578  0.000003  0.000795   0.000531  0.000128
t36     0.000029  0.002379  8.063182e-08  0.000579  0.000003  0.000793   0.000531  0.000128
t37     0.000029  0.002376  8.064547e-08  0.000580  0.000003  0.000790   0.000531  0.000128
t38     0.000029  0.002373  8.065960e-08  0.000580  0.000003  0.000787   0.000531  0.000128
t39     0.000029  0.002370  8.067424e-08  0.000581  0.000003  0.000784   0.000530  0.000128
t40     0.000029  0.002367  8.068938e-08  0.000582  0.000003  0.000781   0.000530  0.000128
t41     0.000029  0.002364  8.070504e-08  0.000582  0.000003  0.000779   0.000530  0.000128
t42     0.000029  0.002361  8.072122e-08  0.000583  0.000003  0.000776   0.000530  0.000128
t43     0.000029  0.002358  8.073794e-08  0.000583  0.000003  0.000773   0.000530  0.000128
t44     0.000029  0.002354  8.075521e-08  0.000584  0.000003  0.000770   0.000530  0.000127
t45     0.000029  0.002351  8.077302e-08  0.000585  0.000003  0.000768   0.000530  0.000127
t46     0.000029  0.002347  8.079140e-08  0.000585  0.000003  0.000765   0.000529  0.000127
t47     0.000029  0.002344  8.081035e-08  0.000586  0.000003  0.000762   0.000529  0.000127
t48     0.000029  0.002340  8.082988e-08  0.000587  0.000003  0.000759   0.000529  0.000127
t49     0.000029  0.002336  8.084999e-08  0.000587  0.000003  0.000757   0.000529  0.000127
t50     0.000029  0.002333  8.087070e-08  0.000588  0.000003  0.000754   0.000529  0.000127
t51     0.000029  0.002329  8.089201e-08  0.000588  0.000003  0.000751   0.000528  0.000127
t52     0.000029  0.002325  8.091393e-08  0.000589  0.000003  0.000749   0.000528  0.000127
t53     0.000029  0.002321  8.093648e-08  0.000590  0.000003  0.000746   0.000528  0.000127
t54     0.000029  0.002317  8.095965e-08  0.000590  0.000003  0.000743   0.000527  0.000127
t55     0.000029  0.002312  8.098345e-08  0.000591  0.000003  0.000740   0.000527  0.000126
t56     0.000029  0.002308  8.100790e-08  0.000592  0.000003  0.000738   0.000527  0.000126
t57     0.000029  0.002304  8.103300e-08  0.000592  0.000003  0.000735   0.000526  0.000126
t58     0.000029  0.002299  8.105875e-08  0.000593  0.000003  0.000732   0.000526  0.000126
t59     0.000029  0.002294  8.108517e-08  0.000593  0.000003  0.000730   0.000525  0.000126
t60     0.000029  0.002290  8.111226e-08  0.000594  0.000003  0.000727   0.000525  0.000126
t61     0.000029  0.002285  8.114003e-08  0.000595  0.000003  0.000724   0.000525  0.000126
t62     0.000029  0.002280  8.116849e-08  0.000595  0.000003  0.000722   0.000524  0.000125
t63     0.000029  0.002275  8.119763e-08  0.000596  0.000003  0.000719   0.000524  0.000125
t64     0.000029  0.002270  8.122748e-08  0.000596  0.000003  0.000717   0.000523  0.000125
t65     0.000029  0.002264  8.125803e-08  0.000597  0.000003  0.000714   0.000523  0.000125
t66     0.000029  0.002259  8.128929e-08  0.000598  0.000003  0.000711   0.000522  0.000125
t67     0.000029  0.002254  8.132127e-08  0.000598  0.000003  0.000709   0.000521  0.000125
t68     0.000029  0.002248  8.135398e-08  0.000599  0.000003  0.000706   0.000521  0.000124
t69     0.000029  0.002242  8.138741e-08  0.000599  0.000003  0.000703   0.000520  0.000124
t70     0.000029  0.002236  8.142158e-08  0.000600  0.000003  0.000701   0.000519  0.000124
t71     0.000029  0.002230  8.145648e-08  0.000600  0.000003  0.000698   0.000519  0.000124
t72     0.000029  0.002224  8.149214e-08  0.000601  0.000003  0.000696   0.000518  0.000124
t73     0.000029  0.002218  8.152854e-08  0.000602  0.000003  0.000693   0.000517  0.000123
t74     0.000029  0.002212  8.156571e-08  0.000602  0.000003  0.000691   0.000516  0.000123
t75     0.000029  0.002205  8.160363e-08  0.000603  0.000003  0.000688   0.000516  0.000123
t76     0.000029  0.002199  8.164232e-08  0.000603  0.000003  0.000685   0.000515  0.000123
t77     0.000029  0.002192  8.168178e-08  0.000604  0.000003  0.000683   0.000514  0.000122
t78     0.000029  0.002185  8.172201e-08  0.000604  0.000003  0.000680   0.000513  0.000122
t79     0.000029  0.002178  8.176302e-08  0.000605  0.000003  0.000678   0.000512  0.000122
t80     0.000029  0.002171  8.180481e-08  0.000606  0.000003  0.000675   0.000511  0.000122
t81     0.000029  0.002164  8.184739e-08  0.000606  0.000003  0.000673   0.000510  0.000121
t82     0.000029  0.002156  8.189076e-08  0.000607  0.000003  0.000670   0.000509  0.000121
t83     0.000029  0.002149  8.193492e-08  0.000607  0.000003  0.000668   0.000508  0.000121
t84     0.000029  0.002141  8.197988e-08  0.000608  0.000003  0.000665   0.000507  0.000120
t85     0.000029  0.002133  8.202563e-08  0.000608  0.000003  0.000663   0.000506  0.000120
t86     0.000029  0.002125  8.207218e-08  0.000609  0.000003  0.000660   0.000505  0.000120
t87     0.000029  0.002116  8.211954e-08  0.000609  0.000003  0.000657   0.000503  0.000120
t88     0.000029  0.002108  8.216770e-08  0.000610  0.000003  0.000655   0.000502  0.000119
t89     0.000029  0.002099  8.221666e-08  0.000610  0.000003  0.000652   0.000501  0.000119
t90     0.000029  0.002091  8.226643e-08  0.000611  0.000003  0.000650   0.000499  0.000118
t91     0.000029  0.002082  8.231701e-08  0.000612  0.000003  0.000647   0.000498  0.000118
t92     0.000029  0.002072  8.236840e-08  0.000612  0.000003  0.000645   0.000496  0.000118
t93     0.000029  0.002063  8.242059e-08  0.000613  0.000003  0.000643   0.000495  0.000117
t94     0.000029  0.002054  8.247359e-08  0.000613  0.000003  0.000640   0.000493  0.000117
t95     0.000029  0.002044  8.252740e-08  0.000614  0.000003  0.000638   0.000492  0.000116
t96     0.000029  0.002034  8.258201e-08  0.000614  0.000003  0.000635   0.000490  0.000116
t97     0.000029  0.002024  8.263743e-08  0.000615  0.000003  0.000633   0.000488  0.000116
t98     0.000029  0.002013  8.269365e-08  0.000615  0.000003  0.000630   0.000487  0.000115
t99     0.000029  0.002003  8.275067e-08  0.000616  0.000003  0.000628   0.000485  0.000115
t100    0.000029  0.001992  8.280849e-08  0.000616  0.000003  0.000625   0.000483  0.000114
t101    0.000029  0.001981  8.286710e-08  0.000617  0.000003  0.000623   0.000481  0.000114
t102    0.000029  0.001970  8.292650e-08  0.000617  0.000003  0.000620   0.000479  0.000113
t103    0.000029  0.001958  8.298669e-08  0.000618  0.000003  0.000618   0.000477  0.000113
t104    0.000029  0.001946  8.304766e-08  0.000618  0.000003  0.000615   0.000475  0.000112
t105    0.000029  0.001934  8.310939e-08  0.000619  0.000003  0.000613   0.000473  0.000112
t106    0.000029  0.001922  8.317189e-08  0.000619  0.000003  0.000611   0.000471  0.000111
t107    0.000029  0.001910  8.323515e-08  0.000619  0.000003  0.000608   0.000468  0.000111
t108    0.000029  0.001897  8.329914e-08  0.000620  0.000003  0.000606   0.000466  0.000110
t109    0.000029  0.001884  8.336387e-08  0.000620  0.000003  0.000603   0.000464  0.000109
t110    0.000029  0.001871  8.342931e-08  0.000621  0.000003  0.000601   0.000461  0.000109
t111    0.000029  0.001857  8.349545e-08  0.000621  0.000003  0.000598   0.000458  0.000108
t112    0.000029  0.001843  8.356220e-08  0.000622  0.000003  0.000596   0.000456  0.000107
t113    0.000029  0.001829  8.362948e-08  0.000622  0.000003  0.000594   0.000453  0.000107
t114    0.000029  0.001815  8.369723e-08  0.000623  0.000003  0.000591   0.000450  0.000106
t115    0.000029  0.001800  8.376539e-08  0.000623  0.000003  0.000589   0.000447  0.000105
t116    0.000029  0.001785  8.383392e-08  0.000623  0.000003  0.000586   0.000444  0.000105
t117    0.000029  0.001770  8.390280e-08  0.000624  0.000003  0.000584   0.000441  0.000104
t118    0.000029  0.001754  8.397202e-08  0.000624  0.000003  0.000582   0.000438  0.000103
t119    0.000029  0.001738  8.404157e-08  0.000625  0.000003  0.000579   0.000435  0.000102
t120    0.000029  0.001722  8.411147e-08  0.000625  0.000003  0.000577   0.000432  0.000101
t121    0.000029  0.001705  8.418174e-08  0.000625  0.000003  0.000574   0.000428  0.000101
t122    0.000029  0.001688  8.425238e-08  0.000626  0.000003  0.000572   0.000425  0.000100
t123    0.000029  0.001671  8.432342e-08  0.000626  0.000003  0.000570   0.000421  0.000099
t124    0.000029  0.001653  8.439487e-08  0.000627  0.000003  0.000567   0.000417  0.000098
t125    0.000029  0.001635  8.446674e-08  0.000627  0.000003  0.000565   0.000414  0.000097
t126    0.000029  0.001617  8.453903e-08  0.000627  0.000003  0.000562   0.000410  0.000096
t127    0.000029  0.001599  8.461174e-08  0.000628  0.000003  0.000560   0.000406  0.000095
t128    0.000029  0.001580  8.468487e-08  0.000628  0.000003  0.000558   0.000402  0.000094
t129    0.000029  0.001560  8.475842e-08  0.000628  0.000003  0.000555   0.000398  0.000093
t130    0.000029  0.001541  8.483237e-08  0.000629  0.000003  0.000553   0.000393  0.000092
t131    0.000029  0.001521  8.490670e-08  0.000629  0.000003  0.000551   0.000389  0.000091
t132    0.000029  0.001501  8.498141e-08  0.000629  0.000003  0.000548   0.000385  0.000090
t133    0.000029  0.001480  8.505647e-08  0.000630  0.000003  0.000546   0.000380  0.000089
t134    0.000029  0.001459  8.513186e-08  0.000630  0.000003  0.000543   0.000375  0.000088
t135    0.000029  0.001438  8.520756e-08  0.000630  0.000003  0.000541   0.000371  0.000087
t136    0.000029  0.001416  8.528354e-08  0.000631  0.000003  0.000539   0.000366  0.000086
t137    0.000029  0.001394  8.535978e-08  0.000631  0.000003  0.000536   0.000361  0.000084
t138    0.000029  0.001372  8.543626e-08  0.000631  0.000003  0.000534   0.000356  0.000083
t139    0.000029  0.001349  8.551294e-08  0.000632  0.000003  0.000531   0.000351  0.000082
t140    0.000029  0.001327  8.558979e-08  0.000632  0.000003  0.000529   0.000345  0.000081
t141    0.000029  0.001304  8.566680e-08  0.000632  0.000003  0.000527   0.000340  0.000079
t142    0.000029  0.001280  8.574392e-08  0.000632  0.000003  0.000524   0.000335  0.000078
t143    0.000029  0.001257  8.582114e-08  0.000633  0.000003  0.000522   0.000329  0.000077
t144    0.000029  0.001233  8.589841e-08  0.000633  0.000003  0.000519   0.000324  0.000075
t145    0.000029  0.001209  8.597571e-08  0.000633  0.000003  0.000517   0.000318  0.000074
t146    0.000029  0.001185  8.605301e-08  0.000633  0.000003  0.000515   0.000312  0.000073
t147    0.000029  0.001160  8.613028e-08  0.000634  0.000003  0.000512   0.000307  0.000071
t148    0.000029  0.001136  8.620749e-08  0.000634  0.000003  0.000510   0.000301  0.000070
t149    0.000029  0.001111  8.628461e-08  0.000634  0.000003  0.000508   0.000295  0.000069
t150    0.000029  0.001087  8.636160e-08  0.000634  0.000003  0.000505   0.000289  0.000067
t151    0.000029  0.001062  8.643845e-08  0.000634  0.000003  0.000503   0.000283  0.000066
t152    0.000029  0.001037  8.651513e-08  0.000634  0.000003  0.000500   0.000278  0.000065
t153    0.000029  0.001013  8.659159e-08  0.000635  0.000003  0.000498   0.000272  0.000063
t154    0.000029  0.000988  8.666783e-08  0.000635  0.000003  0.000495   0.000266  0.000062
t155    0.000029  0.000963  8.674382e-08  0.000635  0.000003  0.000493   0.000260  0.000060
t156    0.000029  0.000939  8.681953e-08  0.000635  0.000003  0.000491   0.000254  0.000059
t157    0.000029  0.000915  8.689493e-08  0.000635  0.000003  0.000488   0.000248  0.000058
t158    0.000029  0.000890  8.697002e-08  0.000635  0.000003  0.000486   0.000242  0.000056
t159    0.000029  0.000866  8.704476e-08  0.000636  0.000003  0.000483   0.000236  0.000055
t160    0.000029  0.000843  8.711914e-08  0.000636  0.000003  0.000481   0.000230  0.000053
t161    0.000029  0.000819  8.719315e-08  0.000636  0.000003  0.000479   0.000225  0.000052
t162    0.000029  0.000796  8.726676e-08  0.000636  0.000003  0.000476   0.000219  0.000051
t163    0.000029  0.000774  8.733997e-08  0.000636  0.000003  0.000474   0.000214  0.000049
t164    0.000029  0.000751  8.741277e-08  0.000636  0.000003  0.000471   0.000208  0.000048
t165    0.000029  0.000729  8.748514e-08  0.000636  0.000003  0.000469   0.000203  0.000047
t166    0.000029  0.000708  8.755708e-08  0.000636  0.000003  0.000467   0.000197  0.000046
t167    0.000029  0.000687  8.762857e-08  0.000636  0.000003  0.000464   0.000192  0.000044
t168    0.000029  0.000666  8.769963e-08  0.000636  0.000003  0.000462   0.000187  0.000043
t169    0.000029  0.000646  8.777024e-08  0.000636  0.000003  0.000459   0.000182  0.000042
t170    0.000029  0.000626  8.784041e-08  0.000636  0.000003  0.000457   0.000177  0.000041
t171    0.000029  0.000607  8.791013e-08  0.000636  0.000003  0.000455   0.000172  0.000040
t172    0.000029  0.000589  8.797942e-08  0.000636  0.000003  0.000452   0.000168  0.000039
t173    0.000029  0.000571  8.804826e-08  0.000636  0.000003  0.000450   0.000163  0.000038
t174    0.000029  0.000554  8.811668e-08  0.000636  0.000003  0.000448   0.000159  0.000037
t175    0.000029  0.000537  8.818467e-08  0.000636  0.000003  0.000445   0.000155  0.000036
t176    0.000029  0.000521  8.825225e-08  0.000636  0.000003  0.000443   0.000151  0.000035
t177    0.000029  0.000506  8.831942e-08  0.000636  0.000003  0.000441   0.000147  0.000034
t178    0.000029  0.000491  8.838619e-08  0.000636  0.000003  0.000438   0.000143  0.000033
t179    0.000029  0.000476  8.845258e-08  0.000636  0.000003  0.000436   0.000140  0.000032
t180    0.000029  0.000463  8.851860e-08  0.000636  0.000003  0.000433   0.000136  0.000031
t181    0.000029  0.000449  8.858426e-08  0.000636  0.000003  0.000431   0.000133  0.000031
t182    0.000029  0.000437  8.864958e-08  0.000636  0.000003  0.000429   0.000130  0.000030
t183    0.000029  0.000425  8.871456e-08  0.000636  0.000003  0.000427   0.000127  0.000029
t184    0.000029  0.000413  8.877922e-08  0.000636  0.000003  0.000424   0.000124  0.000029
t185    0.000029  0.000402  8.884359e-08  0.000636  0.000003  0.000422   0.000121  0.000028
t186    0.000029  0.000392  8.890766e-08  0.000636  0.000003  0.000420   0.000118  0.000027
t187    0.000029  0.000382  8.897146e-08  0.000636  0.000003  0.000417   0.000116  0.000027
t188    0.000029  0.000373  8.903500e-08  0.000636  0.000003  0.000415   0.000114  0.000026
t189    0.000029  0.000364  8.909830e-08  0.000636  0.000003  0.000413   0.000111  0.000026
t190    0.000029  0.000355  8.916137e-08  0.000636  0.000003  0.000411   0.000109  0.000025
t191    0.000029  0.000347  8.922422e-08  0.000636  0.000003  0.000408   0.000107  0.000025
t192    0.000029  0.000340  8.928687e-08  0.000636  0.000003  0.000406   0.000105  0.000024
t193    0.000029  0.000332  8.934934e-08  0.000636  0.000003  0.000404   0.000103  0.000024
t194    0.000029  0.000325  8.941163e-08  0.000636  0.000003  0.000402   0.000102  0.000023
t195    0.000029  0.000319  8.947376e-08  0.000636  0.000003  0.000400   0.000100  0.000023
t196    0.000029  0.000313  8.953574e-08  0.000636  0.000003  0.000397   0.000099  0.000023
t197    0.000029  0.000307  8.959758e-08  0.000636  0.000003  0.000395   0.000097  0.000022
t198    0.000029  0.000302  8.965931e-08  0.000636  0.000003  0.000393   0.000096  0.000022
t199    0.000029  0.000297  8.972092e-08  0.000636  0.000003  0.000391   0.000095  0.000022
t200    0.000029  0.000292  8.978242e-08  0.000636  0.000003  0.000389   0.000093  0.000021
t201    0.000029  0.000287  8.984384e-08  0.000636  0.000003  0.000387   0.000092  0.000021
t202    0.000029  0.000283  8.990518e-08  0.000635  0.000003  0.000385   0.000091  0.000021
t203    0.000029  0.000279  8.996644e-08  0.000635  0.000003  0.000382   0.000090  0.000021
t204    0.000029  0.000275  9.002764e-08  0.000635  0.000003  0.000380   0.000089  0.000020
t205    0.000029  0.000272  9.008879e-08  0.000635  0.000003  0.000378   0.000088  0.000020
t206    0.000029  0.000268  9.014989e-08  0.000635  0.000003  0.000376   0.000087  0.000020
t207    0.000029  0.000265  9.021095e-08  0.000635  0.000003  0.000374   0.000087  0.000020
t208    0.000029  0.000262  9.027198e-08  0.000635  0.000003  0.000372   0.000086  0.000020
t209    0.000029  0.000260  9.033299e-08  0.000635  0.000003  0.000370   0.000085  0.000019
t210    0.000029  0.000257  9.039398e-08  0.000635  0.000003  0.000368   0.000085  0.000019
t211    0.000029  0.000254  9.045496e-08  0.000635  0.000003  0.000366   0.000084  0.000019
t212    0.000029  0.000252  9.051593e-08  0.000635  0.000003  0.000364   0.000083  0.000019
t213    0.000029  0.000250  9.057690e-08  0.000635  0.000003  0.000362   0.000083  0.000019
t214    0.000029  0.000248  9.063788e-08  0.000635  0.000003  0.000360   0.000082  0.000019
t215    0.000029  0.000246  9.069886e-08  0.000635  0.000003  0.000358   0.000082  0.000019
t216    0.000029  0.000244  9.075986e-08  0.000635  0.000003  0.000356   0.000082  0.000019
t217    0.000029  0.000243  9.082087e-08  0.000634  0.000003  0.000354   0.000081  0.000018
t218    0.000029  0.000241  9.088191e-08  0.000634  0.000003  0.000352   0.000081  0.000018
t219    0.000029  0.000240  9.094296e-08  0.000634  0.000003  0.000350   0.000080  0.000018
t220    0.000029  0.000238  9.100405e-08  0.000634  0.000003  0.000349   0.000080  0.000018
