              S_ALK           S_I         S_ND          S_NH         S_NO       S_O           S_S        X_BA         X_BH          X_I         X_ND          X_P          X_S
t1         4.583333     30.555556     7.715278      5.729167     3.819444       0.0     48.888889       1.375         66.0    22.916667    10.472917          0.0     42.96875
t2         9.171168     61.111111    15.395184      11.49158     7.609116       0.0     97.603451    2.749874   132.078671    45.833333    20.942711      0.00192    85.937008
t3        13.763476     91.666657    23.039934     17.287071    11.369223  0.000378    146.143606    4.124624   198.236166    68.749993    31.409322     0.005763   128.904532
t4        18.360238    122.222183    30.649698     23.115488    15.099861  0.000889    194.509365    5.499251   264.472499    91.666638    41.872722      0.01153   171.871222
t5        22.961438    152.777681    38.224631     28.976686    18.801083  0.001447    242.700767    6.873755   330.787633    114.58326    52.332896     0.019225   214.837024
t6        27.567062    183.333139     45.76488     34.870522     22.47293  0.002022    290.717869    8.248137   397.181514   137.499854    62.789834     0.028849   257.801903
t7        32.177095    213.888549    53.270592     40.796857    26.115439  0.002602    338.560733    9.622396   463.654077   160.416412    73.243526     0.040404   300.765827
t8        36.791525    244.443901    60.741909      46.75555    29.728645  0.003184    386.229426   10.996533   530.205257   183.332926    83.693962     0.053894   343.728772
t9        41.410337    274.999186    68.178977     52.746461    33.312583  0.003766    433.724019   12.370547   596.834984   206.249389    94.141135     0.069319   386.690709
t10       46.033517    305.554393    75.581939     58.769452    36.867287  0.004348    481.044587   13.744439   663.543185   229.165795   104.585035     0.086683   429.651614
t11       50.661052    336.109514    82.950939     64.824382    40.392794   0.00493    528.191208   15.118208   730.329787   252.082135   115.025655     0.105987   472.611462
t12       55.292927    366.664538    90.286117     70.911115     43.88914  0.005511    575.163966   16.491855   797.194714   274.998404   125.462986     0.127235   515.570227
t13       59.929128    397.219457    97.587618     77.029513    47.356361  0.006092    621.962944    17.86538   864.137888   297.914592    135.89702     0.150427   558.527885
t14       64.569643     427.77426   104.855583     83.179437    50.794496  0.006672    668.588235   19.238782    931.15923   320.830695   146.327748     0.175567   601.484411
t15       69.214456    458.328939   112.090153     89.360752    54.203581  0.007252     715.03993   20.612063   998.258657   343.746704   156.755163     0.202657   644.439782
t16       73.863554    488.883483    119.29147     95.573321    57.583655  0.007831    761.318127   21.985221  1065.436086   366.662612   167.179257     0.231698   687.393973
t17       78.516924    519.437884   126.459674    101.817008    60.934757   0.00841    807.422927   23.358257  1132.691431   389.578413   177.600022     0.262693   730.346962
t18       83.174551    549.992132   133.594906    108.091677    64.256927  0.008988    853.354436   24.731171  1200.024603   412.494099    188.01745     0.295645   773.298724
t19       87.836422    580.546218   140.697305    114.397193    67.550205  0.009566    899.112762   26.103963  1267.435513   435.409663   198.431533     0.330555   816.249238
t20       92.502522    611.100131   147.767013    120.733423    70.814631  0.010144    944.698018   27.476632  1334.924068   458.325099   208.842264     0.367425    859.19848
t21       97.172838    641.653864   154.804167    127.100231    74.050248  0.010722    990.110321    28.84918  1402.490173   481.240398   219.249635     0.406259   902.146428
t22      101.847356    672.207407   161.808906    133.497485    77.257096  0.011299   1035.349792   30.221606  1470.133733   504.155555   229.653639     0.447058    945.09306
t23      106.526061     702.76075   168.781369     139.92505     80.43522  0.011875   1080.416557    31.59391  1537.854647   527.070563   240.054267     0.489824   988.038355
t24      111.208941    733.313884   175.721695    146.382795    83.584661  0.012452   1125.310745   32.966093  1605.652816   549.985413   250.451514      0.53456  1030.982291
t25      115.895981      763.8668    182.63002    152.870588    86.705464  0.013028   1170.032491   34.338153  1673.528134     572.9001   260.845372     0.581267  1073.924847
t26      120.587167    794.419489   189.506482    159.388296    89.797673  0.013604   1214.581931   35.710092  1741.480497   595.814617   271.235834     0.629948  1116.866004
t27      125.282485    824.971941   196.351217    165.935789    92.861334  0.014179   1258.959209   37.081909  1809.509796   618.728956   281.622892     0.680605  1159.805739
t28      129.981921    855.524147   203.164363    172.512936    95.896493  0.014755   1303.164471   38.453604   1877.61592   641.643111    292.00654     0.733241  1202.744034
t29      134.685462    886.076099   209.946055    179.119606    98.903195   0.01533   1347.197869   39.825178  1945.798757   664.557074   302.386771     0.787857  1245.680869
t30      139.393093    916.627787   216.696429     185.75567   101.881489  0.015904   1391.059559    41.19663  2014.058191    687.47084   312.763578     0.844455  1288.616225
t31        144.1048    947.179201    223.41562    192.420999   104.831422  0.016479     1434.7497    42.56796  2082.394104   710.384401   323.136955     0.903038  1331.550082
t32       148.82057    977.730333   230.103762    199.115464   107.753043  0.017053   1478.268459   43.939169  2150.806375    733.29775   333.506895     0.963608  1374.482423
t33      153.540388   1008.281174   236.760991    205.838937   110.646401  0.017628   1521.616005   45.310257  2219.294881    756.21088   343.873392     1.026167  1417.413229
