           S_ALK        S_I      S_ND       S_NH      S_NO       S_O        S_S      X_BA        X_BH        X_I       X_ND        X_P         X_S
t1           0.0        0.0       0.0        0.0       0.0       0.0        0.0       0.0         0.0        0.0        0.0        0.0         0.0
t2           0.0        0.0       0.0        0.0       0.0       0.0        0.0       0.0         0.0        0.0        0.0        0.0         0.0
t3           0.0        0.0       0.0        0.0       0.0       0.0        0.0       0.0         0.0        0.0        0.0        0.0         0.0
t4           0.0        0.0       0.0        0.0       0.0       0.0        0.0       0.0         0.0        0.0        0.0        0.0         0.0
t5           0.0        0.0       0.0        0.0       0.0       0.0        0.0       0.0         0.0        0.0        0.0        0.0         0.0
t6           0.0        0.0       0.0        0.0       0.0       0.0        0.0       0.0         0.0        0.0        0.0        0.0         0.0
t7           0.0        0.0       0.0        0.0       0.0       0.0        0.0       0.0         0.0        0.0        0.0        0.0         0.0
t8           0.0        0.0       0.0        0.0       0.0       0.0        0.0       0.0         0.0        0.0        0.0        0.0         0.0
t9           0.0        0.0       0.0        0.0       0.0       0.0        0.0       0.0         0.0        0.0        0.0        0.0         0.0
t10          0.0        0.0       0.0        0.0       0.0       0.0        0.0       0.0         0.0        0.0        0.0        0.0         0.0
t11          0.0        0.0       0.0        0.0       0.0       0.0        0.0       0.0         0.0        0.0        0.0        0.0         0.0
t12          0.0        0.0       0.0        0.0       0.0       0.0        0.0       0.0         0.0        0.0        0.0        0.0         0.0
t13          0.0        0.0       0.0        0.0       0.0       0.0        0.0       0.0         0.0        0.0        0.0        0.0         0.0
t14          0.0        0.0       0.0        0.0       0.0       0.0        0.0       0.0         0.0        0.0        0.0        0.0         0.0
t15          0.0        0.0       0.0        0.0       0.0       0.0        0.0       0.0         0.0        0.0        0.0        0.0         0.0
t16          0.0        0.0       0.0        0.0       0.0       0.0        0.0       0.0         0.0        0.0        0.0        0.0         0.0
t17          0.0        0.0       0.0        0.0       0.0       0.0        0.0       0.0         0.0        0.0        0.0        0.0         0.0
t18          0.0        0.0       0.0        0.0       0.0       0.0        0.0       0.0         0.0        0.0        0.0        0.0         0.0
t19          0.0        0.0       0.0        0.0       0.0       0.0        0.0       0.0         0.0        0.0        0.0        0.0         0.0
t20          0.0        0.0       0.0        0.0       0.0       0.0        0.0       0.0         0.0        0.0        0.0        0.0         0.0
t21          0.0        0.0       0.0        0.0       0.0       0.0        0.0       0.0         0.0        0.0        0.0        0.0         0.0
t22          0.0        0.0       0.0        0.0       0.0       0.0        0.0       0.0         0.0        0.0        0.0        0.0         0.0
t23          0.0        0.0       0.0        0.0       0.0       0.0        0.0       0.0         0.0        0.0        0.0        0.0         0.0
t24          0.0        0.0       0.0        0.0       0.0       0.0        0.0       0.0         0.0        0.0        0.0        0.0         0.0
t25          0.0        0.0       0.0        0.0       0.0       0.0        0.0       0.0         0.0        0.0        0.0        0.0         0.0
t26          0.0        0.0       0.0        0.0       0.0       0.0        0.0       0.0         0.0        0.0        0.0        0.0         0.0
t27          0.0        0.0       0.0        0.0       0.0       0.0        0.0       0.0         0.0        0.0        0.0        0.0         0.0
t28          0.0        0.0       0.0        0.0       0.0       0.0        0.0       0.0         0.0        0.0        0.0        0.0         0.0
t29          0.0        0.0       0.0        0.0       0.0       0.0        0.0       0.0         0.0        0.0        0.0        0.0         0.0
t30          0.0        0.0       0.0        0.0       0.0       0.0        0.0       0.0         0.0        0.0        0.0        0.0         0.0
t31          0.0        0.0       0.0        0.0       0.0       0.0        0.0       0.0         0.0        0.0        0.0        0.0         0.0
t32          0.0        0.0       0.0        0.0       0.0       0.0        0.0       0.0         0.0        0.0        0.0        0.0         0.0
t33          0.0        0.0       0.0        0.0       0.0       0.0        0.0       0.0         0.0        0.0        0.0        0.0         0.0
t34          0.0        0.0       0.0        0.0       0.0       0.0        0.0       0.0         0.0        0.0        0.0        0.0         0.0
t35          0.0        0.0       0.0        0.0       0.0       0.0        0.0       0.0         0.0        0.0        0.0        0.0         0.0
t36          0.0        0.0       0.0        0.0       0.0       0.0        0.0       0.0         0.0        0.0        0.0        0.0         0.0
t37          0.0        0.0       0.0        0.0       0.0       0.0        0.0       0.0         0.0        0.0        0.0        0.0         0.0
t38          0.0        0.0       0.0        0.0       0.0       0.0        0.0       0.0         0.0        0.0        0.0        0.0         0.0
t39          0.0        0.0       0.0        0.0       0.0       0.0        0.0       0.0         0.0        0.0        0.0        0.0         0.0
t40          0.0        0.0       0.0        0.0       0.0       0.0        0.0       0.0         0.0        0.0        0.0        0.0         0.0
t41          0.0        0.0       0.0        0.0       0.0       0.0        0.0       0.0         0.0        0.0        0.0        0.0         0.0
t42          0.0        0.0       0.0        0.0       0.0       0.0        0.0       0.0         0.0        0.0        0.0        0.0         0.0
t43          0.0        0.0       0.0        0.0       0.0       0.0        0.0       0.0         0.0        0.0        0.0        0.0         0.0
t44          0.0        0.0       0.0        0.0       0.0       0.0        0.0       0.0         0.0        0.0        0.0        0.0         0.0
t45          0.0        0.0       0.0        0.0       0.0       0.0        0.0       0.0         0.0        0.0        0.0        0.0         0.0
t46          0.0        0.0       0.0        0.0       0.0       0.0        0.0       0.0         0.0        0.0        0.0        0.0         0.0
t47          0.0        0.0       0.0        0.0       0.0       0.0        0.0       0.0         0.0        0.0        0.0        0.0         0.0
t48          0.0        0.0       0.0        0.0       0.0       0.0        0.0       0.0         0.0        0.0        0.0        0.0         0.0
t49          0.0        0.0       0.0        0.0       0.0       0.0        0.0       0.0         0.0        0.0        0.0        0.0         0.0
t50          0.0        0.0       0.0        0.0       0.0       0.0        0.0       0.0         0.0        0.0        0.0        0.0         0.0
t51          0.0        0.0       0.0        0.0       0.0       0.0        0.0       0.0         0.0        0.0        0.0        0.0         0.0
t52          0.0        0.0       0.0        0.0       0.0       0.0        0.0       0.0         0.0        0.0        0.0        0.0         0.0
t53          0.0        0.0       0.0        0.0       0.0       0.0        0.0       0.0         0.0        0.0        0.0        0.0         0.0
t54          0.0        0.0       0.0        0.0       0.0       0.0        0.0       0.0         0.0        0.0        0.0        0.0         0.0
t55          0.0        0.0       0.0        0.0       0.0       0.0        0.0       0.0         0.0        0.0        0.0        0.0         0.0
t56          0.0        0.0       0.0        0.0       0.0       0.0        0.0       0.0         0.0        0.0        0.0        0.0         0.0
t57          0.0        0.0       0.0        0.0       0.0       0.0        0.0       0.0         0.0        0.0        0.0        0.0         0.0
t58          0.0        0.0       0.0        0.0       0.0       0.0        0.0       0.0         0.0        0.0        0.0        0.0         0.0
t59          0.0        0.0       0.0        0.0       0.0       0.0        0.0       0.0         0.0        0.0        0.0        0.0         0.0
t60          0.0        0.0       0.0        0.0       0.0       0.0        0.0       0.0         0.0        0.0        0.0        0.0         0.0
t61          0.0        0.0       0.0        0.0       0.0       0.0        0.0       0.0         0.0        0.0        0.0        0.0         0.0
t62          0.0        0.0       0.0        0.0       0.0       0.0        0.0       0.0         0.0        0.0        0.0        0.0         0.0
t63          0.0        0.0       0.0        0.0       0.0       0.0        0.0       0.0         0.0        0.0        0.0        0.0         0.0
t64          0.0        0.0       0.0        0.0       0.0       0.0        0.0       0.0         0.0        0.0        0.0        0.0         0.0
t65          0.0        0.0       0.0        0.0       0.0       0.0        0.0       0.0         0.0        0.0        0.0        0.0         0.0
t66          0.0        0.0       0.0        0.0       0.0       0.0        0.0       0.0         0.0        0.0        0.0        0.0         0.0
t67          0.0        0.0       0.0        0.0       0.0       0.0        0.0       0.0         0.0        0.0        0.0        0.0         0.0
t68          0.0        0.0       0.0        0.0       0.0       0.0        0.0       0.0         0.0        0.0        0.0        0.0         0.0
t69          0.0        0.0       0.0        0.0       0.0       0.0        0.0       0.0         0.0        0.0        0.0        0.0         0.0
t70          0.0        0.0       0.0        0.0       0.0       0.0        0.0       0.0    0.000001        0.0        0.0        0.0         0.0
t71          0.0        0.0       0.0        0.0       0.0       0.0        0.0       0.0    0.000001        0.0        0.0        0.0    0.000001
t72          0.0        0.0       0.0        0.0       0.0       0.0        0.0       0.0    0.000001   0.000001        0.0        0.0    0.000001
t73          0.0        0.0       0.0        0.0       0.0       0.0        0.0       0.0    0.000002   0.000001        0.0        0.0    0.000002
t74          0.0        0.0       0.0        0.0       0.0       0.0        0.0       0.0    0.000003   0.000001   0.000001        0.0    0.000002
t75          0.0        0.0       0.0        0.0       0.0       0.0        0.0       0.0    0.000005   0.000002   0.000001        0.0    0.000004
t76          0.0        0.0       0.0        0.0       0.0       0.0        0.0       0.0    0.000007   0.000003   0.000001        0.0    0.000005
t77          0.0        0.0       0.0        0.0       0.0       0.0        0.0       0.0    0.000011   0.000004   0.000002        0.0    0.000008
t78          0.0        0.0       0.0        0.0       0.0       0.0        0.0       0.0    0.000016   0.000006   0.000003        0.0    0.000012
t79          0.0        0.0       0.0        0.0       0.0       0.0        0.0       0.0    0.000024    0.00001   0.000004        0.0    0.000018
t80          0.0        0.0       0.0        0.0       0.0       0.0        0.0  0.000001    0.000036   0.000014   0.000006        0.0    0.000027
t81          0.0        0.0       0.0        0.0       0.0       0.0        0.0  0.000001    0.000054   0.000022    0.00001        0.0     0.00004
t82          0.0        0.0       0.0        0.0       0.0       0.0        0.0  0.000002    0.000081   0.000032   0.000015        0.0    0.000061
t83          0.0        0.0       0.0        0.0       0.0       0.0        0.0  0.000002    0.000123   0.000049   0.000022        0.0    0.000092
t84          0.0        0.0       0.0        0.0       0.0       0.0        0.0  0.000004    0.000187   0.000074   0.000033        0.0    0.000139
t85          0.0        0.0       0.0        0.0       0.0       0.0        0.0  0.000006    0.000282   0.000112   0.000051        0.0     0.00021
t86          0.0        0.0       0.0        0.0       0.0       0.0        0.0  0.000008    0.000422   0.000168   0.000076   0.000001    0.000314
t87          0.0        0.0       0.0        0.0       0.0       0.0        0.0  0.000012    0.000626   0.000248   0.000112   0.000001    0.000465
t88          0.0        0.0       0.0        0.0       0.0       0.0        0.0  0.000018    0.000934    0.00037   0.000167   0.000001    0.000694
