          S_ALK   S_I       S_ND       S_NH       S_NO  S_O        S_S  X_BA        X_BH   X_I       X_ND       X_P         X_S
t0     6.000000  40.0  10.100000  12.500000  20.000000  0.0  64.000000   0.0   96.000000  40.0  18.280000  0.000000  108.000000
t1     6.006042  40.0  10.051812  12.542766  19.958172  0.0  63.755348   0.0   96.125242  40.0  18.276421  0.003333  107.996450
t2     6.012068  40.0  10.003850  12.585312  19.916360  0.0  63.510812   0.0   96.250407  40.0  18.272842  0.006669  107.992901
t3     6.018077  40.0   9.956115  12.627639  19.874562  0.0  63.266395   0.0   96.375495  40.0  18.269262  0.010006  107.989351
t4     6.024069  40.0   9.908604  12.669746  19.832780  0.0  63.022100   0.0   96.500503  40.0  18.265681  0.013346  107.985802
t5     6.030044  40.0   9.861318  12.711635  19.791014  0.0  62.777928   0.0   96.625431  40.0  18.262099  0.016687  107.982254
t6     6.036003  40.0   9.814255  12.753307  19.749264  0.0  62.533881   0.0   96.750277  40.0  18.258516  0.020030  107.978706
t7     6.041945  40.0   9.767416  12.794762  19.707531  0.0  62.289963   0.0   96.875041  40.0  18.254932  0.023376  107.975158
t8     6.047871  40.0   9.720799  12.836002  19.665814  0.0  62.046174   0.0   96.999720  40.0  18.251348  0.026723  107.971611
t9     6.053779  40.0   9.674404  12.877026  19.624115  0.0  61.802518   0.0   97.124314  40.0  18.247763  0.030073  107.968064
t10    6.059672  40.0   9.628230  12.917836  19.582433  0.0  61.558997   0.0   97.248820  40.0  18.244177  0.033424  107.964518
t11    6.065547  40.0   9.582277  12.958432  19.540770  0.0  61.315613   0.0   97.373239  40.0  18.240591  0.036778  107.960972
t12    6.071406  40.0   9.536543  12.998815  19.499125  0.0  61.072368   0.0   97.497569  40.0  18.237003  0.040133  107.957427
t13    6.077249  40.0   9.491028  13.038986  19.457498  0.0  60.829265   0.0   97.621807  40.0  18.233415  0.043491  107.953882
t14    6.083075  40.0   9.445732  13.078945  19.415891  0.0  60.586306   0.0   97.745954  40.0  18.229826  0.046850  107.950338
