            h_S  h_OH  h_OHan      h_NO      h_NH  h_OA     h_SBH
t           NaN   NaN     NaN       NaN       NaN   NaN       NaN
t1     0.761905   0.0     1.0  0.975610  0.944037   0.0  0.982533
t2     0.761210   0.0     1.0  0.975560  0.944218   0.0  0.982510
t3     0.760511   0.0     1.0  0.975510  0.944395   0.0  0.982487
t4     0.759809   0.0     1.0  0.975460  0.944571   0.0  0.982464
t5     0.759102   0.0     1.0  0.975409  0.944745   0.0  0.982441
t6     0.758392   0.0     1.0  0.975359  0.944917   0.0  0.982418
t7     0.757678   0.0     1.0  0.975308  0.945087   0.0  0.982395
t8     0.756961   0.0     1.0  0.975257  0.945255   0.0  0.982372
t9     0.756239   0.0     1.0  0.975206  0.945421   0.0  0.982350
t10    0.755513   0.0     1.0  0.975155  0.945586   0.0  0.982327
t11    0.754784   0.0     1.0  0.975103  0.945748   0.0  0.982304
t12    0.754050   0.0     1.0  0.975051  0.945909   0.0  0.982281
t13    0.753313   0.0     1.0  0.974999  0.946068   0.0  0.982258
t14    0.752572   0.0     1.0  0.974947  0.946225   0.0  0.982236
t15    0.751826   0.0     1.0  0.974895  0.946380   0.0  0.982213
t16    0.751077   0.0     1.0  0.974842  0.946534   0.0  0.982190
t17    0.750323   0.0     1.0  0.974790  0.946686   0.0  0.982167
t18    0.749565   0.0     1.0  0.974737  0.946836   0.0  0.982145
t19    0.748804   0.0     1.0  0.974684  0.946985   0.0  0.982122
t20    0.748038   0.0     1.0  0.974630  0.947132   0.0  0.982099
t21    0.747268   0.0     1.0  0.974577  0.947278   0.0  0.982077
t22    0.746493   0.0     1.0  0.974523  0.947422   0.0  0.982054
t23    0.745715   0.0     1.0  0.974469  0.947564   0.0  0.982032
t24    0.744932   0.0     1.0  0.974415  0.947705   0.0  0.982009
t25    0.744145   0.0     1.0  0.974361  0.947844   0.0  0.981986
t26    0.743353   0.0     1.0  0.974307  0.947982   0.0  0.981964
t27    0.742558   0.0     1.0  0.974252  0.948118   0.0  0.981941
t28    0.741758   0.0     1.0  0.974197  0.948253   0.0  0.981919
