       H_grow  Han_grow  A_grow   decay_H  decay_A   Ammonia  hydro_org   hydro_N
t         NaN       NaN     NaN       NaN      NaN       NaN        NaN       NaN
t1        0.0  0.002643     0.0  0.000556      0.0  0.000898   0.000559  0.000095
t2        0.0  0.002644     0.0  0.000556      0.0  0.000895   0.000560  0.000095
t3        0.0  0.002645     0.0  0.000557      0.0  0.000892   0.000561  0.000095
t4        0.0  0.002646     0.0  0.000558      0.0  0.000888   0.000561  0.000095
t5        0.0  0.002646     0.0  0.000558      0.0  0.000885   0.000562  0.000095
t6        0.0  0.002647     0.0  0.000559      0.0  0.000882   0.000563  0.000095
t7        0.0  0.002648     0.0  0.000560      0.0  0.000879   0.000563  0.000095
t8        0.0  0.002649     0.0  0.000561      0.0  0.000876   0.000564  0.000095
t9        0.0  0.002649     0.0  0.000561      0.0  0.000873   0.000565  0.000095
t10       0.0  0.002650     0.0  0.000562      0.0  0.000870   0.000565  0.000096
t11       0.0  0.002651     0.0  0.000563      0.0  0.000867   0.000566  0.000096
t12       0.0  0.002652     0.0  0.000563      0.0  0.000864   0.000567  0.000096
t13       0.0  0.002652     0.0  0.000564      0.0  0.000861   0.000567  0.000096
t14       0.0  0.002653     0.0  0.000565      0.0  0.000858   0.000568  0.000096
t15       0.0  0.002653     0.0  0.000566      0.0  0.000855   0.000569  0.000096
t16       0.0  0.002654     0.0  0.000566      0.0  0.000852   0.000569  0.000096
t17       0.0  0.002655     0.0  0.000567      0.0  0.000849   0.000570  0.000096
t18       0.0  0.002655     0.0  0.000568      0.0  0.000846   0.000571  0.000096
t19       0.0  0.002656     0.0  0.000569      0.0  0.000843   0.000571  0.000096
t20       0.0  0.002656     0.0  0.000569      0.0  0.000840   0.000572  0.000097
t21       0.0  0.002656     0.0  0.000570      0.0  0.000837   0.000573  0.000097
t22       0.0  0.002657     0.0  0.000571      0.0  0.000834   0.000573  0.000097
t23       0.0  0.002657     0.0  0.000571      0.0  0.000831   0.000574  0.000097
t24       0.0  0.002658     0.0  0.000572      0.0  0.000828   0.000575  0.000097
t25       0.0  0.002658     0.0  0.000573      0.0  0.000825   0.000575  0.000097
t26       0.0  0.002658     0.0  0.000574      0.0  0.000822   0.000576  0.000097
t27       0.0  0.002659     0.0  0.000574      0.0  0.000820   0.000577  0.000097
t28       0.0  0.002659     0.0  0.000575      0.0  0.000817   0.000577  0.000097
t29       0.0  0.002659     0.0  0.000576      0.0  0.000814   0.000578  0.000097
t30       0.0  0.002659     0.0  0.000576      0.0  0.000811   0.000579  0.000098
t31       0.0  0.002660     0.0  0.000577      0.0  0.000808   0.000579  0.000098
t32       0.0  0.002660     0.0  0.000578      0.0  0.000805   0.000580  0.000098
t33       0.0  0.002660     0.0  0.000578      0.0  0.000802   0.000581  0.000098
t34       0.0  0.002660     0.0  0.000579      0.0  0.000799   0.000581  0.000098
t35       0.0  0.002660     0.0  0.000580      0.0  0.000797   0.000582  0.000098
t36       0.0  0.002660     0.0  0.000581      0.0  0.000794   0.000583  0.000098
t37       0.0  0.002660     0.0  0.000581      0.0  0.000791   0.000583  0.000098
t38       0.0  0.002660     0.0  0.000582      0.0  0.000788   0.000584  0.000098
t39       0.0  0.002660     0.0  0.000583      0.0  0.000785   0.000585  0.000098
t40       0.0  0.002660     0.0  0.000583      0.0  0.000783   0.000585  0.000098
t41       0.0  0.002660     0.0  0.000584      0.0  0.000780   0.000586  0.000099
t42       0.0  0.002660     0.0  0.000585      0.0  0.000777   0.000587  0.000099
t43       0.0  0.002660     0.0  0.000586      0.0  0.000774   0.000587  0.000099
t44       0.0  0.002660     0.0  0.000586      0.0  0.000771   0.000588  0.000099
t45       0.0  0.002659     0.0  0.000587      0.0  0.000769   0.000589  0.000099
t46       0.0  0.002659     0.0  0.000588      0.0  0.000766   0.000589  0.000099
t47       0.0  0.002659     0.0  0.000588      0.0  0.000763   0.000590  0.000099
t48       0.0  0.002659     0.0  0.000589      0.0  0.000761   0.000591  0.000099
t49       0.0  0.002658     0.0  0.000590      0.0  0.000758   0.000591  0.000099
t50       0.0  0.002658     0.0  0.000590      0.0  0.000755   0.000592  0.000099
t51       0.0  0.002657     0.0  0.000591      0.0  0.000752   0.000593  0.000099
t52       0.0  0.002657     0.0  0.000592      0.0  0.000750   0.000593  0.000100
t53       0.0  0.002657     0.0  0.000592      0.0  0.000747   0.000594  0.000100
t54       0.0  0.002656     0.0  0.000593      0.0  0.000744   0.000594  0.000100
t55       0.0  0.002656     0.0  0.000594      0.0  0.000742   0.000595  0.000100
t56       0.0  0.002655     0.0  0.000595      0.0  0.000739   0.000596  0.000100
t57       0.0  0.002655     0.0  0.000595      0.0  0.000736   0.000596  0.000100
t58       0.0  0.002654     0.0  0.000596      0.0  0.000734   0.000597  0.000100
t59       0.0  0.002653     0.0  0.000597      0.0  0.000731   0.000598  0.000100
t60       0.0  0.002653     0.0  0.000597      0.0  0.000729   0.000598  0.000100
t61       0.0  0.002652     0.0  0.000598      0.0  0.000726   0.000599  0.000100
t62       0.0  0.002651     0.0  0.000599      0.0  0.000723   0.000600  0.000100
t63       0.0  0.002650     0.0  0.000599      0.0  0.000721   0.000600  0.000101
t64       0.0  0.002650     0.0  0.000600      0.0  0.000718   0.000601  0.000101
t65       0.0  0.002649     0.0  0.000601      0.0  0.000716   0.000601  0.000101
t66       0.0  0.002648     0.0  0.000601      0.0  0.000713   0.000602  0.000101
t67       0.0  0.002647     0.0  0.000602      0.0  0.000711   0.000603  0.000101
t68       0.0  0.002646     0.0  0.000603      0.0  0.000708   0.000603  0.000101
t69       0.0  0.002645     0.0  0.000603      0.0  0.000705   0.000604  0.000101
t70       0.0  0.002644     0.0  0.000604      0.0  0.000703   0.000605  0.000101
t71       0.0  0.002643     0.0  0.000605      0.0  0.000700   0.000605  0.000101
t72       0.0  0.002642     0.0  0.000605      0.0  0.000698   0.000606  0.000101
t73       0.0  0.002641     0.0  0.000606      0.0  0.000695   0.000606  0.000101
t74       0.0  0.002640     0.0  0.000607      0.0  0.000693   0.000607  0.000102
t75       0.0  0.002639     0.0  0.000607      0.0  0.000690   0.000608  0.000102
t76       0.0  0.002637     0.0  0.000608      0.0  0.000688   0.000608  0.000102
t77       0.0  0.002636     0.0  0.000609      0.0  0.000686   0.000609  0.000102
t78       0.0  0.002635     0.0  0.000609      0.0  0.000683   0.000610  0.000102
t79       0.0  0.002634     0.0  0.000610      0.0  0.000681   0.000610  0.000102
t80       0.0  0.002632     0.0  0.000611      0.0  0.000678   0.000611  0.000102
t81       0.0  0.002631     0.0  0.000611      0.0  0.000676   0.000611  0.000102
t82       0.0  0.002629     0.0  0.000612      0.0  0.000673   0.000612  0.000102
t83       0.0  0.002628     0.0  0.000613      0.0  0.000671   0.000613  0.000102
t84       0.0  0.002626     0.0  0.000613      0.0  0.000669   0.000613  0.000102
t85       0.0  0.002625     0.0  0.000614      0.0  0.000666   0.000614  0.000102
t86       0.0  0.002623     0.0  0.000615      0.0  0.000664   0.000614  0.000103
t87       0.0  0.002622     0.0  0.000615      0.0  0.000661   0.000615  0.000103
t88       0.0  0.002620     0.0  0.000616      0.0  0.000659   0.000616  0.000103
t89       0.0  0.002618     0.0  0.000617      0.0  0.000657   0.000616  0.000103
t90       0.0  0.002617     0.0  0.000617      0.0  0.000654   0.000617  0.000103
t91       0.0  0.002615     0.0  0.000618      0.0  0.000652   0.000617  0.000103
t92       0.0  0.002613     0.0  0.000619      0.0  0.000650   0.000618  0.000103
t93       0.0  0.002611     0.0  0.000619      0.0  0.000647   0.000619  0.000103
t94       0.0  0.002609     0.0  0.000620      0.0  0.000645   0.000619  0.000103
t95       0.0  0.002607     0.0  0.000621      0.0  0.000643   0.000620  0.000103
t96       0.0  0.002605     0.0  0.000621      0.0  0.000640   0.000620  0.000103
t97       0.0  0.002603     0.0  0.000622      0.0  0.000638   0.000621  0.000103
t98       0.0  0.002601     0.0  0.000623      0.0  0.000636   0.000621  0.000104
t99       0.0  0.002599     0.0  0.000623      0.0  0.000634   0.000622  0.000104
t100      0.0  0.002597     0.0  0.000624      0.0  0.000631   0.000623  0.000104
t101      0.0  0.002595     0.0  0.000624      0.0  0.000629   0.000623  0.000104
t102      0.0  0.002593     0.0  0.000625      0.0  0.000627   0.000624  0.000104
t103      0.0  0.002591     0.0  0.000626      0.0  0.000625   0.000624  0.000104
t104      0.0  0.002588     0.0  0.000626      0.0  0.000622   0.000625  0.000104
t105      0.0  0.002586     0.0  0.000627      0.0  0.000620   0.000626  0.000104
t106      0.0  0.002584     0.0  0.000628      0.0  0.000618   0.000626  0.000104
t107      0.0  0.002581     0.0  0.000628      0.0  0.000616   0.000627  0.000104
t108      0.0  0.002579     0.0  0.000629      0.0  0.000613   0.000627  0.000104
t109      0.0  0.002576     0.0  0.000629      0.0  0.000611   0.000628  0.000104
t110      0.0  0.002574     0.0  0.000630      0.0  0.000609   0.000628  0.000104
t111      0.0  0.002571     0.0  0.000631      0.0  0.000607   0.000629  0.000105
